test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
0,0.23756658503742253,0.38294909826503154,-0.052204700322818764,0.01462672362582643,0.2744967663852525,0.0674695606226558,0.009324615345329726,-0.06702464541055266,0.017987620970928764,0.1574466530036881,0.5,30.0,12.0,0.02346157048934129
1,0.3275089403458041,0.46535913677040697,-0.039128570318226974,0.04564777905023321,0.473602302692614,0.32003504068406685,0.009324615345329726,-0.06702464541055266,0.07949028436419883,0.1574466530036881,0.5,30.0,12.0,0.16530667515105255
2,0.3083832660458238,0.14684021199391922,-0.04876546159488544,0.04603065190165182,0.09996559295015767,0.03797777545982821,0.009324615345329726,-0.06702464541055266,0.32272638121877434,0.1574466530036881,0.5,30.0,12.0,0.07488935199615872
3,0.4874808719668875,0.2586786149682349,-0.008520791425393318,0.033646583072128596,0.061114629636829614,0.29916377540036343,0.009324615345329726,-0.06702464541055266,0.14459117694068302,0.1574466530036881,0.5,30.0,12.0,0.4406176013369677
4,0.4728652957274666,0.023803321556254826,-0.09436207664052804,0.04773662283703306,0.05848156991550245,0.44378330001029337,0.009324615345329726,-0.06702464541055266,0.021484750194478923,0.1574466530036881,0.5,30.0,12.0,0.309756737427283
5,1.0105351188322622,0.05726427594232076,-0.09909953430350162,0.0332332596920737,0.3357959809406608,0.24033568624062132,0.009324615345329726,-0.06702464541055266,0.45532323307845957,0.1574466530036881,0.5,30.0,12.0,0.41154894527438307
6,1.6165781745479717,0.33383182535410294,-0.08400185579630493,0.008158340544835661,0.38054410019555823,0.034758326955117234,0.009324615345329726,-0.06702464541055266,0.25133089220969146,0.1574466530036881,0.5,30.0,12.0,0.032593681486109916
7,4.942589475270914,0.4340645132571764,-0.01472400177366466,0.010042353092210007,0.3946230017937132,0.37797353143435103,0.009324615345329726,-0.06702464541055266,0.1450952555664058,0.1574466530036881,0.5,30.0,12.0,0.2596159146154668
8,7.120798812188087,0.09038331581816805,-0.023246838795161234,0.00654324728784189,0.46108540004440873,0.13098875257719658,0.009324615345329726,-0.06702464541055266,0.14967909368811677,0.1574466530036881,0.5,30.0,12.0,0.02052421481033641
9,0.6924993037227156,0.0998602950831347,-0.007692066501964356,0.0284441989446412,0.45584898988599776,0.07619100836905843,0.009324615345329726,-0.06702464541055266,0.2693104032062853,0.1574466530036881,0.5,30.0,12.0,0.4934754673968091
10,0.5857723832887793,0.18627069503829513,-0.08232602447802578,0.029319907568354703,0.03420952349229469,0.136044878883065,0.009324615345329726,-0.06702464541055266,0.1085783595354895,0.1574466530036881,0.5,30.0,12.0,0.3531223990198851
11,0.391375974811749,0.28235634531215587,-0.053947833267935286,0.03816584693161129,0.4846707539606699,0.023437295256613443,0.009324615345329726,-0.06702464541055266,0.4806284789134961,0.1574466530036881,0.5,30.0,12.0,0.1933196218437939
12,0.4581380329123954,0.06535624391273669,-0.06121276849206436,0.03932562615542514,0.20314648742661665,0.39049614477915945,0.009324615345329726,-0.06702464541055266,0.038458925997542664,0.1574466530036881,0.5,30.0,12.0,0.4311013535078654
13,0.362126406919456,0.20295474379612458,-0.04268443703232169,0.00674121774407591,0.369378232331592,0.44494434896284524,0.009324615345329726,-0.06702464541055266,0.3757923520321875,0.1574466530036881,0.5,30.0,12.0,0.26734823556403203
14,0.24509724156595988,0.3761447336613203,-0.09977364853809788,0.03646062952100261,0.47260895934101005,0.43182209755793266,0.009324615345329726,-0.06702464541055266,0.2617751923337579,0.1574466530036881,0.5,30.0,12.0,0.11455353873840095
15,0.24303124988449717,0.2355252261247204,-0.004785628071255349,0.0480825441626059,0.4367242877966408,0.32120407302940923,0.009324615345329726,-0.06702464541055266,0.3763144731472902,0.1574466530036881,0.5,30.0,12.0,0.16457504387542937
16,0.19886258991644873,0.3791018088976406,-0.06418250722525681,0.029976470895284758,0.2699347615829643,0.42098278799292854,0.009324615345329726,-0.06702464541055266,0.3952920431723163,0.1574466530036881,0.5,30.0,12.0,0.15616522034203256
17,0.17928860000527738,0.19192512942020074,-0.06019902182227166,0.012946228920193776,0.4864249052260618,0.1817042618965352,0.009324615345329726,-0.06702464541055266,0.494793472188857,0.1574466530036881,0.5,30.0,12.0,0.43578446794948156
18,0.2807861953531313,0.2820783932298819,-0.07267801216727832,0.024778082214385457,0.24632297244263585,0.37232029093833036,0.009324615345329726,-0.06702464541055266,0.40329816365238064,0.1574466530036881,0.5,30.0,12.0,0.22638317669924077
19,0.2674540895479544,0.16223202433459874,-0.05370550411280498,0.04138088788580447,0.017711755437643903,0.33019993949010784,0.009324615345329726,-0.06702464541055266,0.36066578142230127,0.1574466530036881,0.5,30.0,12.0,0.24491574046795234
20,0.2058652558409225,0.33004338725042814,-0.06851753081585925,0.019790205244293473,0.15116645851625465,0.21144124537961087,0.009324615345329726,-0.06702464541055266,0.4540195970123728,0.1574466530036881,0.5,30.0,12.0,0.11119066325948898
21,0.25046494937180475,0.4997721223867106,-0.033483188824570465,0.019870307060057643,0.31087374795558165,0.19068145398997183,0.009324615345329726,-0.06702464541055266,0.49130126439026706,0.1574466530036881,0.5,30.0,12.0,0.357901153554678
22,0.3259264573450301,0.4048868562336655,-0.06617972634178107,0.023237486753956524,0.17872849757556397,0.1606815716893734,0.009324615345329726,-0.06702464541055266,0.4377627560857745,0.1574466530036881,0.5,30.0,12.0,0.4983717991675103
23,0.9517100854217209,0.3392095522795914,-0.08209634785745297,0.012596194543362261,0.2546516600489377,0.26588308336092115,0.009324615345329726,-0.06702464541055266,0.4977357104633515,0.1574466530036881,0.5,30.0,12.0,0.33248984124908487
