test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
0,3.0711761189435376,0.11670368282951328,-0.019531416764717327,0.008531552234004317,0.010933932556326197,0.28108857644940455,0.008919114726247282,-0.07534726136520323,0.027807598868512647,0.1,0.5,30.0,12.0,0.42407572548669664
1,0.5563777053039719,0.4393273148878938,-0.03359842554778568,0.008637949215645731,0.17016801630588974,0.24134116007343362,0.008919114726247282,-0.07534726136520323,0.09969053397093575,0.1,0.5,30.0,12.0,0.1227300123630518
2,0.040324982011893405,0.16887895018152094,-0.014640579525631275,0.03281465180149001,0.1726517703395954,0.3380058560921446,0.008919114726247282,-0.07534726136520323,0.4788633904405961,0.1,0.5,30.0,12.0,0.23649615723573364
3,0.47552206787309803,0.39372070688141136,-0.09478974780257678,0.04484085296103671,0.306324137742617,0.0749323095835047,0.008919114726247282,-0.07534726136520323,0.0621562151511853,0.1,0.5,30.0,12.0,0.17080866462004488
4,0.2298895471488969,0.31923944492661493,-0.05077375693405686,0.027900793326693825,0.06689758259986091,0.44242468205121466,0.008919114726247282,-0.07534726136520323,0.011223977482579684,0.1,0.5,30.0,12.0,0.06402274895355467
5,0.3986667061536968,0.40195687682558984,-0.03140812268398201,0.03578387051873665,0.11767948317370483,0.04597053821998869,0.008919114726247282,-0.07534726136520323,0.4920024789695613,0.1,0.5,30.0,12.0,0.36504168284942595
6,0.25694948416889607,0.2095563119446471,-0.09398581999414495,0.044315015564607776,0.4232686594984981,0.23482582066319735,0.008919114726247282,-0.07534726136520323,0.012516222660161452,0.1,0.5,30.0,12.0,0.28753191851463356
7,3.218668995209234,0.1778919545343823,-0.08490337982843178,0.044270563090565304,0.3272803382873606,0.40148739098850045,0.008919114726247282,-0.07534726136520323,0.1672567300455152,0.1,0.5,30.0,12.0,0.1912708841442306
8,0.4829255158518066,0.2984069093615401,-0.029648168735592895,0.0480737613594222,0.2628226612187137,0.06199526925170754,0.008919114726247282,-0.07534726136520323,0.07871430814794411,0.1,0.5,30.0,12.0,0.21196656559190086
9,2.074376660356215,0.3084044263802903,-0.04466287944740721,0.03578351006599736,0.15440307868240136,0.2648403908665639,0.008919114726247282,-0.07534726136520323,0.4559918729262869,0.1,0.5,30.0,12.0,0.13710109888340213
10,1.752265228149879,0.2296166248780236,-0.07136401048835375,0.00550333445892408,0.23469529493078883,0.10741782209708264,0.008919114726247282,-0.07534726136520323,0.10698083653125134,0.1,0.5,30.0,12.0,0.43072519401195125
