type,name,site_type,concentration,size,effective_size,binding_model,binding_oparams,effect_model,effect_oparams,unbinding_model,unbinding_oparams
topo,gyrase,DNA,44.6,120,100,none,none,none,none,none,none
topo,topoI,DNA,17.0,120,100,none,none,none,none,none,none
