test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,width_topoI,threshold_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,width_gyrase,threshold_gyrase,sigma0_gyrase
0,11.415944489244442,0.03705156203373729,0.9830951065154991,5.870843529757406,0.14518690591297137,0.2198905465761975,0.09693834544215464,0.8624610301904392,7.5816229025423905,0.06469380972727397,-0.28617974204787844,-0.12441956607022354
1,0.1712762426281662,0.024958603066425472,0.6015213503203249,4.8589438029497,0.03398858910775803,0.013049944317301554,0.04331700383021288,0.21281077622243944,5.847932618656852,0.22473446286662532,0.024432679619934006,-0.11475857583646329
2,11.798800969181578,0.04306595285784639,0.31854713341584384,16.634963395748628,0.22630261047501035,0.06676157542557748,0.011804895011583747,0.5568178494460407,2.871646790847482,0.02864645757647293,0.0076243438565025135,-0.14791164844907095
3,2.6303880552318617,0.02486669752894581,0.4339921694022811,1.0752029687843012,0.22280349631304763,0.10597754834073136,0.02823240582470026,0.2770797723872628,12.779542672397277,0.2900470667853638,-0.25828514908582684,-0.10449815814943111
4,4.5271572618119045,0.042211682961481096,0.20644712156378203,2.0197325619580853,0.26177539478863737,0.15243355963718042,0.08542716673346315,0.5821077236877935,6.118761910074708,0.1432050230866967,0.27373655841119876,-0.08903078767297228
5,3.754574099401295,0.09719001584812378,0.618528435982619,14.443560783734348,0.1524583959262484,0.0008950901236268183,0.030814124960631403,0.30312960937029826,11.474921433112401,0.10897271302084646,0.0941740064654269,-0.12482744460419544
6,2.670728235381068,0.04134788180262087,0.5912448395592961,2.752858352579357,0.14524252354305528,0.11381589325112207,0.08684838705850093,0.5272691097375125,17.540049586004976,0.2986002660889653,0.29658790598250867,-0.09440455855990461
7,27.726942523190903,0.08498427729625731,0.9988562887881833,10.840947386702908,0.022967957205368324,-0.12004324373086814,0.07837566817721439,0.7144993209548839,0.09231495191102557,0.09212475582846945,-0.12290804456271776,-0.1360871704764734
8,3.368047493737582,0.09189171866433389,0.4548453102741916,0.14290668269133056,0.2921014322949081,-0.12504097194477007,0.0508772303692087,0.3254568104100873,18.40382443767848,0.12125299182881223,0.21808307558181456,-0.09316211041579932
9,0.5624254422553252,0.07014910591355322,0.32219045515854833,16.178560532515274,0.10546396882080429,0.29944693686998897,0.03791183914121897,0.3139714884447616,9.607108606492558,0.2793225828501742,0.17252966311664425,-0.1247888204634995
10,16.469441603366384,0.03161326087430151,0.28870730085423796,15.682033821441232,0.2952699041214754,-0.013517865152230024,0.011815205759424411,0.9762211993309049,11.440348774915092,0.06031027171645056,-0.14541525193237204,-0.08670047245562296
11,8.36034620845394,0.02058514400465671,0.44652242778910517,15.80803748884228,0.14100602169021198,0.00791610342607868,0.04391317017811848,0.942197564851093,14.030874682489678,0.1025562197792963,0.04693366763233864,-0.07822398967312559
12,4.377829002716881,0.02208124806115659,0.45433600096727833,7.16091287380046,0.24550955458724472,0.26309933300419935,0.0883494738853586,0.49445294829340675,14.629533107959139,0.10639069344805961,0.19626499098546468,-0.12148811244881952
13,8.026344387563963,0.0707760612485311,0.978526694068482,18.934859012608264,0.21107638682045549,0.015674764285003306,0.09106195041617092,0.6227417105214288,5.51316687780033,0.2773756512675381,-0.29029010092804564,-0.12146666211695913
14,2.103512824766765,0.08869985143073295,0.41915246603387596,0.53767779402218,0.27334386131958466,0.247594374336002,0.07952220450135017,0.47643713107067615,7.904588859363917,0.28671434293127307,0.08305305869974888,-0.10683283275819683
15,11.283813482449382,0.01867113443853199,0.47495206421960456,19.844648717193103,0.14658449591319314,-0.25384678977175995,0.0802935364330987,0.6441898530190098,3.0376568760191747,0.2516606949844629,-0.0456486862182362,-0.10462627938549594
16,3.054716658888131,0.06080051502118945,0.40014062811581014,18.258222197545035,0.20453385848474018,0.2001358978843238,0.09123865233143369,0.691777377998981,9.209958070372704,0.19223410978991326,0.1211482082429085,-0.12715294629367901
17,16.85531405862231,0.01428904466004164,0.29549723290907975,4.696587335237423,0.2781055447921898,-0.15004187238333197,0.02580334542488802,0.4847641328449852,1.3742073826608814,0.030084020766107826,-0.043815593523044316,-0.10975880885965139
18,6.049303502806392,0.05204033464827894,0.5818818678817449,4.554620978064035,0.05939475375160034,-0.07272380595302039,0.0374769975274984,0.4655523133195208,10.885705799062212,0.09630451587018624,0.000766878096728707,-0.08239714632397353
19,26.192727885094346,0.08488624839395889,0.9508325972839746,13.766318460872654,0.18897846626477996,0.10981208004456394,0.00823419584208051,0.7101022333510439,0.41995082844657583,0.18096332664246434,-0.27749403388914673,-0.1454411625122452
20,1.8886989854236607,0.006353845054736872,0.02400739416275427,9.80210406333843,0.08324069193800344,-0.27332312484746607,0.05918290513921774,0.04998408580538935,5.711474539176726,0.2327609142462368,0.16052348893972293,-0.1357312093314586
21,28.32905841004683,0.07099911696388303,0.7497308186332573,9.302681151935817,0.002640751274758428,0.29144334945651534,0.06486641640699684,0.11500459252800597,4.354238577898999,0.21835598026599415,0.2437890918485487,-0.1151860405689053
22,9.889722534874473,0.00450653920170993,0.788951925621755,12.30754202486814,0.09580258693650343,-0.20965202675556674,0.06407677367361517,0.19576775131807764,9.069735016188464,0.25826667636469935,0.14256051624307967,-0.1357673127291454
23,1.558052330956495,0.06006297172263305,0.12646669437585867,8.162986181039276,0.0429427180985071,0.16626097378661425,0.021021743124424563,0.37108311305802416,7.842825217638049,0.1930130764231224,0.053803945026655225,-0.09915357842882161
24,1.6305114347891,0.073621929767101,0.7032386006978443,11.684095699560872,0.10684523256793246,-0.06627988703400653,0.04933916751855461,0.1549974923367018,15.98325289491322,0.2211642879957378,-0.097166658416378,-0.11459821679364131
25,1.2546615445822789,0.055734448023387256,0.8752823433080124,3.639189749436988,0.0015632711845234848,-0.20869051120414842,0.036582781519076846,0.02413115768927404,2.9365425320631395,0.15591201441082153,0.17667963069904824,-0.13044009814062085
26,1.4115691193827273,0.03071918578011217,0.10887877491469997,6.6487257433657385,0.0703849230066608,0.2886825281564848,0.017831850401897272,0.23144673224300416,9.994586220846763,0.2602564244426002,-0.17537738394580032,-0.11577335840760257
27,2.2515751510810995,0.07700730314609847,0.5425833849523485,12.895300923393629,0.11940263572549148,0.05980430087603607,0.053359695447149476,0.3972423716148723,19.860107867574442,0.23221569999801706,-0.04205338507749311,-0.14194502079405574
28,10.52928542920177,0.06492503360933145,0.6817627397034304,8.374418646910112,0.03836740327988417,0.20283998274174472,0.04128243094702622,0.11131311265475302,6.58290269538249,0.16641368453902278,-0.2016599400111186,-0.11565733344395975
29,9.457406928679756,0.04909667319821652,0.21144998603202114,17.28920806253729,0.02141846237741256,-0.05348268108593496,0.004067551213009585,0.8150052013317974,12.843615509663344,0.20927368217810138,0.04147574683338209,-0.13118965634255375
30,3.334579349078338,0.011215579422862818,0.34212353951158253,4.566476587594915,0.17790811181255656,0.060678025862256055,0.07048854597025021,0.24214823493695112,4.391696335837148,0.2709086903981303,0.2447116291864323,-0.07251130557027696
