frame,time,type,name,concentration
38,9.5,RNAP,RNAP,0.2
38,9.5,topo,topoI,0.17
38,9.5,topo,gyrase,0.44
38,9.5,lacI,lacI,0.2
39,9.75,RNAP,RNAP,0.2
39,9.75,topo,topoI,0.17
39,9.75,topo,gyrase,0.44
39,9.75,lacI,lacI,0.2
40,10.0,RNAP,RNAP,0.2
40,10.0,topo,topoI,0.17
40,10.0,topo,gyrase,0.44
40,10.0,lacI,lacI,0.2
41,10.25,RNAP,RNAP,0.2
41,10.25,topo,topoI,0.17
41,10.25,topo,gyrase,0.44
41,10.25,lacI,lacI,0.2
42,10.5,RNAP,RNAP,0.2
42,10.5,topo,topoI,0.17
42,10.5,topo,gyrase,0.44
42,10.5,lacI,lacI,0.2
43,10.75,RNAP,RNAP,0.2
43,10.75,topo,topoI,0.17
43,10.75,topo,gyrase,0.44
43,10.75,lacI,lacI,0.2
44,11.0,RNAP,RNAP,0.2
44,11.0,topo,topoI,0.17
44,11.0,topo,gyrase,0.44
44,11.0,lacI,lacI,0.2
45,11.25,RNAP,RNAP,0.2
45,11.25,topo,topoI,0.17
45,11.25,topo,gyrase,0.44
45,11.25,lacI,lacI,0.2
46,11.5,RNAP,RNAP,0.2
46,11.5,topo,topoI,0.17
46,11.5,topo,gyrase,0.44
46,11.5,lacI,lacI,0.2
47,11.75,RNAP,RNAP,0.2
47,11.75,topo,topoI,0.17
47,11.75,topo,gyrase,0.44
47,11.75,lacI,lacI,0.2
48,12.0,RNAP,RNAP,0.2
48,12.0,topo,topoI,0.17
48,12.0,topo,gyrase,0.44
48,12.0,lacI,lacI,0.2
49,12.25,RNAP,RNAP,0.2
49,12.25,topo,topoI,0.17
49,12.25,topo,gyrase,0.44
49,12.25,lacI,lacI,0.2
50,12.5,RNAP,RNAP,0.2
50,12.5,topo,topoI,0.17
50,12.5,topo,gyrase,0.44
50,12.5,lacI,lacI,0.2
51,12.75,RNAP,RNAP,0.2
51,12.75,topo,topoI,0.17
51,12.75,topo,gyrase,0.44
51,12.75,lacI,lacI,0.2
52,13.0,RNAP,RNAP,0.2
