test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,width_topoI,threshold_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,width_gyrase,threshold_gyrase,sigma0_gyrase
0,4.701817458363703,0.0003974478984950278,0.32772357136890556,10.287086044831579,0.006999894196787368,0.01624459651363587,4.485811639376865e-05,0.2935207662932092,9.668545565900253,0.007180111275318671,-0.0019131336306646082,-0.1268726156786368
1,8.184909141476545,3.768024869792744e-05,0.9395832770529793,7.133370891072605,0.002018624158367953,-0.012052041193474305,0.0001375750433165814,0.48705185849903765,19.135994358939335,0.007470535939419712,0.004758733927997569,-0.11167093194468186
2,8.707059163387159,0.0003547956150557169,0.9539169653995737,3.192534391599968,0.012136674444475777,-0.06607524097927273,1.1336741626778917e-05,0.9254664774241452,1.3426066278928483,0.005683173836185913,-0.02955335373581458,-0.0703692865682371
3,6.470481709769256,0.0002593042756673948,0.8507271035566352,7.291492578816863,0.011944672006698897,-0.021433396864212903,8.92458079284275e-05,0.7752252291194601,2.5179219035357026,0.0062033760174710776,0.0029489828397549073,-0.08634165923923354
4,2.08613204070184,0.0002101677120133106,0.5229230424577047,9.91867121409651,0.004811574857033732,-0.023813263857906906,6.23620125696768e-05,0.6536090938534186,16.762537470865368,0.0027538396583996413,-0.04988869863521526,-0.10865054528217495
5,7.996445768828069,0.00012033792855836912,0.6010953740871963,1.7903673116684482,0.008437809180852612,-0.01207316912717945,9.769882037446476e-05,0.2081174606386442,14.389700404370833,0.008605970308724774,0.004797529652202412,-0.1216577319297435
6,3.940630944209733,0.00037022710709792953,0.7076240134005138,17.94694194006813,0.008438855114690969,-0.05816556178772179,5.29005684247063e-05,0.6472115387732452,6.434564519766798,0.008281516222531817,-0.014385066597509162,-0.144932291414616
7,6.940538063954698,0.0002665977386998351,0.2849663958864934,8.542571502260168,0.007601433081263688,-0.06191722905254413,0.0001736987954462982,0.9377410278636638,6.727272738566703,0.001316336622114362,0.018989556115988834,-0.07715787929830799
8,3.9740049469853376,0.00033796404186601446,0.30559621513682267,15.373591480896309,0.007739356887089443,-0.03167952817046081,8.949523974596671e-05,0.9444606121552703,17.894818127218386,0.01140315649253213,0.00808012594648766,-0.10531867713892325
9,2.265690386368354,0.0002590773254488477,0.9992314293018799,11.397002125324905,0.00695704163318046,-0.0409269799924023,0.00021333478562569284,0.6795605210471796,16.108200615276612,0.004470550891910174,-0.031476901700347226,-0.10348768912311429
10,6.32494298469716,8.387674177347287e-05,0.15593733489258244,19.530999096518464,0.0040235116047270935,-0.03171037428638529,0.00020121985457369773,0.41737366568532686,8.673646134511284,0.006232256944585337,0.033051619441194724,-0.10314670277005004
11,10.381157776394652,3.1279408057897364e-05,0.16071191852069416,3.082465779597756,0.010729931454341502,0.025472376072112224,2.1278177138108735e-05,0.10710461118340048,6.378640329431205,0.008623038967237583,0.020914086380502406,-0.13210676235345026
12,5.698345988673209,0.0002608860514794316,0.6229291401888506,17.93673309376128,0.008505585477502338,-0.06894537617080801,1.1874352959954245e-05,0.9995952060391937,15.119048536966869,0.005331226255199066,-0.009559196527271774,-0.0845293336365257
13,8.135679412823428,1.7507265535341054e-05,0.28447457620434524,15.905838147646863,0.004898773421704109,-0.015118619731178236,0.00014541019034645914,0.7249107274151559,6.780187228215788,0.003895220208799623,-0.002215323738848536,-0.07409358528384503
14,6.379343883729801,0.00038114122654654307,0.7994860642145123,18.656678976970944,0.005061308621902491,-0.03146034833653327,4.2377002239638885e-05,0.9775626512341092,8.096200306355883,0.0012981696094469357,0.01447099091691148,-0.09080911434342939
15,1.883231089099634,0.00021254811741493914,0.22143677048715138,18.316146024235742,0.006611336756644791,-0.0386082826046935,0.0002040024429991891,0.9549315832523447,5.343034591646072,0.00922168533299862,-0.05519490096546872,-0.10568024676131543
16,2.332272543700527,0.0003203731502794946,0.8339070635253409,14.123933535807387,0.011210567693158905,-0.03156238523395711,7.118530550556711e-05,0.4711108567371691,19.489274263985916,0.0044754624635946665,-0.025793026823070032,-0.13783510333979773
17,12.786867030434102,1.819351116225037e-05,0.5585812499113277,0.8897947414820084,0.005583852037043151,-0.016179670339716484,0.0001610086688340047,0.2525474750726253,16.95038151753023,0.0031711523522728927,0.030663768089027987,-0.10605143925097973
18,5.499794343812523,0.0003102289908947799,0.878220158484788,19.36274573449193,0.009836306692365087,0.021343710561207263,1.7677175039935553e-05,0.2954279327764193,15.453006545823659,0.004709923788601774,0.0030531021264249003,-0.13540060444960003
19,8.432429902785987,4.643633614562485e-05,0.5465436565258064,13.448007585395608,0.002123312260437259,-0.036906830211108466,0.00010720727164754889,0.8931618694305313,1.6941038455687707,0.006039795381641443,0.008641359551284575,-0.07172058431036836
20,1.9427376521215536,0.00017976573225958538,0.41783707094396805,5.689964487996739,0.0033458194549481463,0.0018216523233116032,0.0002305929781984123,0.5826674237193217,12.080890666153053,0.010726113662660122,-0.057782338134767006,-0.11689163762701182
21,2.436530802986196,0.00016446699642073238,0.3903533907121749,4.898086619206729,0.003135632742416564,0.0051372586789519975,0.0001913622619319004,0.8308661150673763,11.866241534360356,0.011291023598294618,-0.05993881370113602,-0.11647585392761581
22,3.817675569415595,0.00017589147399247636,0.442009076749816,5.722871297098833,0.0013918127468327043,0.0008160175538344042,0.00023971880852113254,0.5766952206863094,3.9298737525840055,0.010235382816932127,-0.04770193806495763,-0.09716064139055564
23,1.3760586269874733,0.00013889660478716442,0.11397045720773921,4.185404240111444,0.005818618523083643,0.004617496424633657,0.00023799904734263737,0.8231099597211468,12.547090565999126,0.00997894839634592,-0.05108744477438284,-0.11758280943455901
24,1.0670405216043575,0.00012210107552332623,0.10258735925543738,12.178559672296132,0.006027954661516367,-0.05142881034784892,0.0002230590003659826,0.8375715070539421,13.074004481125607,0.012227700753383966,-0.04486783936988582,-0.12474735658367846
25,1.1071039504950297,0.00011613006398391445,0.10653488750483198,11.82393504299342,0.006047360535865362,-0.05123087808038512,0.0002240015735528594,0.8001933803090563,12.729714078898304,0.012389962983987994,-0.03959746411797051,-0.1457455958854679
26,1.0806467303960625,9.63065835509054e-05,0.10330898543415906,12.040013259974394,0.009316591321857746,-0.0511821092049516,0.00022267921427401524,0.8346488217949665,13.943714583977036,0.012382863767957601,-0.039500357009728815,-0.1463268855294369
27,1.8462989199547635,7.414990721438779e-05,0.21296865132027692,12.990827550171977,0.009903186178006703,-0.049667686895614335,0.0001791247765519271,0.8721918738491777,13.873474818901101,0.012244823779270223,-0.04074924704539565,-0.14919171155397457
28,3.2638055719915675,8.013266933966582e-05,0.23207878351734157,10.011684761517085,0.009374162893472964,-0.05192658642732855,0.00013800983861265184,0.7348715052381679,10.336274064039854,0.012072222624334113,-0.021198569634408276,-0.12722941279957578
29,0.8394081564663725,0.00041824156949867865,0.35476568525401225,16.221741756207322,0.01090047663391745,-0.04573528918394507,0.00016024040397952325,0.3617803396196721,10.067843923795852,0.011505781288203688,-0.04136407493239211,-0.14226295243845577
30,2.301233785252875,0.00022165839446036277,0.36856176417666475,16.34516219523707,0.010868114451161993,-0.04370145679874074,0.0001254020055322933,0.34626978476239245,10.710930497762465,0.007506674009831005,-0.019595827020944857,-0.12650703390036844
31,1.9750631600610613,0.00015201335195405582,0.4647602196979512,14.339177604038055,0.0040729177119581145,-0.058405137094358364,0.00015396243043871042,0.14799280055354253,8.943796557187603,0.009562923727182862,-0.03288095842417521,-0.13890091541181704
32,1.4427832608037934,0.00041318798803868204,0.35960353090308583,16.958131599284204,0.0063931113600878536,-0.06793589270616793,0.00017803296148178618,0.41451343388238576,10.708382404573939,0.01149744275456001,-0.04445019762092793,-0.13078921987469583
33,2.8861467293452883,0.00028669527846851247,0.48928679702305433,8.450610363025255,0.012416640182032016,-0.04579713512423529,0.00011102976147764346,0.5121589336984983,18.53773584198715,0.010662362965620632,-0.005641318801614954,-0.14113543553185864
34,2.607405842437092,0.0004164880290280238,0.7438996770390165,15.182875540775626,0.007469199987777304,-0.02444166051660266,0.00012665337099643521,0.3590435116292942,3.752144014637734,0.0069981079085680385,-0.033700532684489665,-0.12500328177000544
35,2.0129915865076233,0.0002329752024497321,0.15969495308939655,8.303998229472361,0.01156530458718516,-0.061616703992789824,0.00019219842937366063,0.1797629789212562,7.798429969889166,0.007844772051817486,-0.025910907175354943,-0.11403304452588524
36,2.163552575260602,0.00018691256915719275,0.6566861676723033,10.901574348841438,0.002233386459270164,-0.05681316257069975,0.00016487337166014995,0.5150388750766646,9.491664868398482,0.011777577639218047,-0.054061581756047264,-0.12046584667329024
37,0.6279324094792668,0.00013718627373991588,0.2563701066718926,17.223116571290326,0.008338413641946494,-0.006284851658979303,0.00021411649179675835,0.2658906428835316,11.232596572865964,0.009292617594364783,-0.04655507790839807,-0.13353242869283158
38,3.5643523140373605,5.5260873601334945e-05,0.31947130682367136,17.117686970071098,0.010387420037003832,-0.006541213186344121,0.00014386972629871976,0.24554318361609817,4.91265399438721,0.009098626747688722,-0.01484322359947586,-0.14194668836315308
39,1.24785848136965,0.0001981370853110413,0.24357310268737647,19.907354704748364,0.008577965061999714,0.012813154144695874,0.0001893441685675039,0.33593908103768855,11.41116010106217,0.00812595483819467,-0.036059821435775276,-0.1109760175174084
40,3.7611653071047897,0.00023554964300731663,0.49961217619032106,14.71652203322195,0.012175581727521258,-0.00684190861936271,0.0002096579735572514,0.10497798331597852,0.6730992100356588,0.010758589404007621,-0.02694060174152462,-0.14887644700103142
41,2.2901861085349178,0.00036639388540609817,0.4005727406186105,17.331950375925107,0.007928646587856508,-0.022954666508654836,0.00015876089682981717,0.4239233119798858,7.480283301710573,0.009837606632066207,-0.019340313543175294,-0.13355005485083912
42,0.43916146079716356,0.0003006730157575953,0.2729948292226457,13.2933607153974,0.011702052203622637,0.011406112208705032,0.0001156289046743896,0.26461602101447684,16.97651716351112,0.008735076614284914,-0.05286026208414407,-0.12950747790744396
43,0.5852603683250603,0.00028045795372803965,0.26434746524500863,9.293546300058498,0.011667231479774179,0.012548636103578856,8.013915107698474e-05,0.16518555481482244,19.920326546249576,0.006693670688731845,-0.05244259416740168,-0.12914126896587338
44,1.5441785970495365,0.00033981309660385963,0.17098873386231161,9.714197073764556,0.011554773101193938,0.02993717532933211,3.510766140606363e-05,0.1595532206011353,17.525848553576363,0.006599607939762535,-0.05332190861765647,-0.10041504979747795
45,0.5872641935123233,0.00028937110249834257,0.1912159384128625,7.124330823006849,0.011802111893288203,0.013127057185370905,7.743786296857932e-05,0.2094500011628841,18.693173311137556,0.005342439566011397,-0.05957196299653672,-0.12094227887236877
46,6.6020092021889845,0.00038984791063263296,0.2832868925441725,7.316198892961517,0.010200192223429237,0.020056052228877616,5.7268747825735996e-05,0.1265668370255094,19.75369306199077,0.0025019483505111196,0.026569002159082596,-0.1295588251977948
47,2.966552438575788,0.000299973353790448,0.5729180537070211,9.025231749917177,0.00914321047749656,0.02978207833684462,9.208215921016652e-05,0.4537837970759112,16.21953043714251,0.0073311021483776296,-0.013072087274073226,-0.13689445540849907
