type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-1609.0,0,0.0,-61.09946199725035,-0.021752227241102876
origin,ori,ori,3085.0,0,100.0,-0.2561792928364442,-0.023783783784078655
NAP,lacI,lac1,3167.0,0,20.0,-16.489084276877986,-0.023273101631842742
NAP,lacI,lac2,4371.0,0,20.0,-61.09946199725035,-0.021752227241102876
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
