type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-1609.0,0,0.0,-73.68680368820027,-0.02623348956114217
origin,ori,ori,3085.0,0,100.0,36.454442753655286,3.3844444444444455
NAP,lacI,lac1,3167.0,0,20.0,-30.841463879241527,-0.04353040540540542
NAP,lacI,lac2,4371.0,0,20.0,-73.68680368820027,-0.02623348956114217
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
