type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-192.2019356943863,-0.08043922500493811
RNAP,RNAP,tetA,1178.0,1,32.0,97.35575748600482,0.08677004023717937
origin,ori,ori,3085.0,0,100.0,-192.2019356943863,-0.08043922500493811
EXT,EXT_R,EXT,7178.0,0,0.0,0.0,-0.06
