type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-107.71174812307956,-0.03050847457627145
origin,ori,ori,3085.0,0,100.0,-107.71174812307956,-0.03050847457627145
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
