type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-102.47576036709859,-0.029025423728814396
origin,ori,ori,3085.0,0,100.0,-102.47576036709859,-0.029025423728814396
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
