type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-122.5221134900064,-0.03470338983050974
origin,ori,ori,3085.0,0,100.0,-122.5221134900064,-0.03470338983050974
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
