type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-144.06446311462201,-0.04080508474576395
origin,ori,ori,3085.0,0,100.0,-144.06446311462201,-0.04080508474576395
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
