type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-127.32337506420194,-0.06530801638502658
RNAP,RNAP,tetA,443.0,1,32.0,-37.68503907435199,-0.024128920543138165
origin,ori,ori,3085.0,0,100.0,-127.32337506420194,-0.06530801638502658
EXT,EXT_R,EXT,6443.0,0,0.0,0.0,-0.06
