type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-78.09101738923678,-0.022118644067797965
origin,ori,ori,3085.0,0,100.0,-78.09101738923678,-0.022118644067797965
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
