test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
0,6.929911139548913,0.06466783306914059,0.13964476016588728,9.247990514275436,0.08261640102508548,0.6023785500077629,11.712226040655851,-0.11
1,10.719844949736698,0.04595048195624858,0.4042969494828993,17.38055673081568,0.024197536828555043,0.01505012624843123,1.1164423409975077,-0.11
2,6.740714080927886,0.018949081472789394,0.5893694883889906,10.645091669445197,0.030258393613058213,0.7681266685956307,4.638511459071006,-0.11
3,1.6705268374545659,0.021780205806713932,0.6605648475773618,6.892255169543167,0.016455584923328954,0.8272392419346362,18.18367833784248,-0.11
4,9.98724090500336,0.091194958390827,0.7279648348692254,13.135420041991049,0.06371212761116059,0.1487454248957805,1.380575119331593,-0.11
5,1.2272142537712103,0.011806837359870825,0.6681129228948336,13.711529862396743,0.04135341233313929,0.8479904152793508,17.84232594191249,-0.11
6,7.286121982629938,0.01684044541142679,0.02530653598311992,14.513116807524948,0.04074923912342764,0.21586461172682384,13.559421831662423,-0.11
7,1.4129253865173046,0.03396143379294857,0.24686956015021905,2.410074927891628,0.026691100054950484,0.19756081273642015,13.974696364364812,-0.11
8,4.665594034241932,0.012436201899683471,0.22316145560517198,17.147332735654672,0.03816308626068518,0.725564044520853,8.962650590592279,-0.11
9,2.6790119159998103,0.08298069162865475,0.6205609470207388,3.088843786018838,0.06169660034124693,0.6708364190401283,9.41638085817951,-0.11
10,1.2882838493714721,0.010613669579071183,0.29183904487970563,9.662000222948494,0.07684321166430744,0.8681977618115436,14.836535857868288,-0.11
11,2.383302409879937,0.09455042205578824,0.5477948327358688,11.66026453958445,0.02210602418140124,0.104226746011941,11.245693582900543,-0.11
12,2.807098427218432,0.023428337361826625,0.33403739099045576,9.239659282403917,0.02708847277210097,0.21280501105100572,4.706030788537811,-0.11
13,2.592997408189897,0.07048057142930064,0.11722754400999057,1.0133910719999162,0.030779784832865212,0.5593121814458549,11.230906448593185,-0.11
14,2.4507971029842253,0.09459133924988228,0.19068190446486266,3.429581066163021,0.006079091367558836,0.10662494788116242,19.89083731541542,-0.11
15,7.284287871461224,0.06573732061586106,0.5056017710313369,17.114338639814232,0.013748163848579346,0.414198754714175,9.07517295596811,-0.11
16,3.176544691124125,0.04385785819205162,0.28402637461341695,8.048434004565223,0.09451258003194878,0.5978119580404634,11.60889123165084,-0.11
17,1.2294084781879397,0.014925344014914823,0.800690653302613,6.185827961563093,0.07333887551379639,0.8163915970378459,19.04459956690372,-0.11
18,7.169760923062866,0.09710086366254425,0.9176524213045276,14.004958122011441,0.025238443103512444,0.7703908920079816,10.8788415429,-0.11
19,7.6777391285084455,0.0962094705328208,0.9262382112162626,10.161972012033878,0.0013899173532197675,0.20088330599822135,17.995391639600886,-0.11
20,1.9491548344319731,0.004888256697185638,0.8151359366541471,5.756961805625298,0.05391577042985079,0.9813934127596966,16.663688293713857,-0.11
21,2.1700140890153543,0.002883928807152861,0.7861323595805906,19.81830386669495,0.07424693705862803,0.9444898151170442,19.636350698519184,-0.11
22,2.09842036284366,0.03148714535625435,0.8530773696184898,5.668076457174809,0.09938436213296573,0.9280207085921099,15.904005852826263,-0.11
23,1.2479050085873609,0.03269619153656342,0.9775870149656498,12.384388177100302,0.048204552595326335,0.3906367748613302,19.947130136681437,-0.11
24,26.211424816214514,0.0011074812156027947,0.45434006465175314,0.06014987827497631,0.08744474850639584,0.440659776691048,18.185857901921608,-0.11
25,8.100294375441878,0.029117808538889473,0.6975278785673689,15.311512101650646,0.06523618432466495,0.878142852769775,6.519654299436418,-0.11
