type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2233.5,0,0.0,-103.87238068673949,-0.03263776060706702
origin,ori,ori,3085.0,0,100.0,54.65409578049831,0.1662127930640294
RNAP,RNAP,mKalama1,3734.5,-1,32.0,-103.87238068673949,-0.03263776060706702
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
