test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
0,7.778381252393656,0.015157044885718847,0.13285271236788573,13.525180573336904,0.030695227631112192,0.47262720700972477,15.708406909560361,-0.07002158661999122
1,6.123749978735706,0.07278458986349318,0.9134109132674457,2.474841963860168,0.09925204081985206,0.9266115216542317,10.864446804919705,-0.09604143639015653
2,7.648012917801722,0.04851609656697646,0.12349945418402236,9.8854410588937,0.04354940441877177,0.4182263884053906,4.463537763924097,-0.1146102266038222
3,6.438481919040937,0.01283868964407072,0.5272655447641672,8.278882435702942,0.08072430724101394,0.122835694193544,7.40995214258464,-0.14514783271114526
4,10.234638411285902,0.08908236514778403,0.05200917129479164,16.80371046783266,0.09813155144618708,0.3683011326071514,5.300903471098504,-0.09205735618372868
5,5.457771135866445,0.09005899375823154,0.7452546609776154,5.899103843954238,0.0448508086083038,0.7298924646676416,8.230415003203387,-0.10912312074724412
6,5.04647398163683,0.092397211837755,0.8001411578669491,15.466460511410073,0.05179239858560601,0.8131094062806211,13.302151335324195,-0.13316172932398923
7,2.499991793710442,0.06771357194839467,0.8483690920479335,0.8714321841494366,0.07640305135245473,0.41616487554772474,12.747029047162952,-0.07974647954602301
8,6.304734040040664,0.003494607029463628,0.07533016188348922,9.939942826536214,0.012661820880277137,0.7580050287974675,9.827966424091999,-0.08332507611650503
9,0.9229973326171481,0.010218043888908044,0.7633181379346351,11.954355643748173,0.052985907147485425,0.26001550046204536,7.178433930822528,-0.0923720015664132
10,1.1969495997247195,0.06823031263056141,0.6744556209150276,6.8898478268319785,0.05154303812664461,0.2706243180411278,19.231834948012715,-0.11225264746088337
11,3.473043659576075,0.0557014772839365,0.11936994619905734,0.6491133279194816,0.061404921784783115,0.19073967648963627,3.966486974083212,-0.10093690248777906
12,2.9316667039384097,0.08489324571076082,0.9467008794480444,18.074551239943133,0.0704607756055031,0.03592902138100288,18.526721288114164,-0.1227956167857035
13,9.385182302161212,0.07823339170461686,0.04582577263456615,2.287922995922702,0.0037504011083950607,0.1939766115951558,15.411550121886336,-0.07083859051759947
