frames,time,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95
13,6.5,5,3,3,1,3,2,2,1,1,3,2,2,1,3,1,2,3,1,0,2,2,1,2,3,3,0,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,0,2,1,2,2,2,1,2,2,1,1,2,0,2,2,2,3,1,2,2,3,1,1,3,1,1,2,0,1,0,3,1,3,3,3,2,1,1,4,3,2,1,2,1,1,0,1,2,2,4,1,5,0,3,4
14,7.0,1,3,1,3,3,2,1,2,2,1,3,3,2,2,3,2,2,1,4,2,2,1,1,3,2,1,3,2,1,1,1,2,1,2,1,1,2,4,1,3,3,3,1,5,1,4,2,2,0,3,2,2,4,3,1,0,1,1,3,2,2,2,0,4,3,4,1,2,1,2,1,1,2,2,2,1,0,2,2,3,1,2,2,2,2,1,2,1,2,1,1,0,3,1,3,1
15,7.5,2,2,2,1,2,1,1,1,1,1,2,3,2,4,1,2,3,2,2,3,2,3,1,2,2,2,2,2,3,2,2,4,2,3,3,2,1,0,2,1,2,3,1,2,3,2,2,3,5,2,0,3,1,4,2,3,4,2,1,1,3,1,3,2,2,2,1,0,2,2,3,3,2,2,3,1,1,2,0,1,1,1,2,3,2,3,2,1,3,2,3,1,2,3,2,2
16,8.0,2,2,3,3,1,3,1,2,1,1,2,1,2,2,1,2,2,3,2,1,1,5,2,4,3,2,0,3,2,1,2,3,4,1,2,3,4,2,2,3,2,2,2,2,1,2,2,4,4,1,2,2,1,1,2,2,0,3,1,1,3,4,1,3,2,3,1,2,2,3,1,1,1,1,2,1,2,1,2,2,2,1,4,1,1,4,1,3,2,2,2,3,5,1,2,3
17,8.5,1,2,1,0,0,2,1,2,2,2,1,0,2,3,3,3,3,1,2,1,2,1,2,2,3,2,1,1,6,5,2,2,1,2,4,2,2,2,1,3,1,2,1,2,2,2,2,1,1,3,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,4,3,0,2,0,2,4,1,0,1,3,2,4,1,2,3,2,2,2,2,2,3,3,2,1,1,1,1,2,1
18,9.0,3,1,1,3,1,2,4,3,3,3,1,3,4,3,1,1,2,1,1,2,4,1,2,2,1,1,2,2,0,3,1,1,1,2,3,3,2,1,0,2,0,3,1,2,3,2,1,2,2,1,3,3,2,3,2,2,3,2,2,2,2,0,1,1,3,2,1,4,0,0,2,1,2,1,1,0,2,3,2,1,2,1,1,1,2,1,2,0,2,2,1,1,3,2,1,3
19,9.5,2,3,3,2,3,1,2,3,0,1,3,3,2,1,0,1,2,2,1,1,1,2,1,2,1,1,2,2,3,2,2,4,2,2,3,2,2,0,2,2,0,3,3,2,5,3,1,1,2,3,1,3,3,3,1,1,1,1,4,2,1,2,1,1,3,1,2,1,1,1,2,3,3,1,1,3,2,2,2,1,2,1,3,3,2,2,1,2,2,3,1,1,2,3,3,3
20,10.0,2,3,1,3,1,2,1,2,1,2,2,2,2,1,0,1,3,1,2,1,1,3,1,1,1,2,0,3,1,2,3,2,2,2,1,1,2,2,1,3,2,2,1,1,3,2,2,4,1,2,3,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,1,0,3,2,2,2,2,3,1,1,0,1,2,1,3,1,3,2,1,1,2,1,3,2,3,1,2,1,3,2
21,10.5,1,3,2,2,1,3,0,1,0,2,2,1,1,0,1,2,3,3,4,1,2,2,2,2,3,2,2,1,4,2,2,1,1,3,2,2,2,1,0,1,2,1,1,0,5,2,1,1,1,0,1,3,2,1,2,1,2,3,6,1,4,1,2,1,2,3,1,3,0,2,4,2,1,1,4,3,1,2,3,1,1,2,3,2,0,4,1,4,1,3,1,1,0,1,2,2
22,11.0,1,2,2,1,2,3,2,1,1,2,2,1,2,1,1,2,0,2,3,3,5,2,1,2,3,3,3,2,2,1,1,1,3,2,2,2,1,1,0,2,1,1,3,5,3,0,1,0,1,1,1,2,3,2,1,1,2,2,2,1,1,3,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,5,3,2,1,2,1,4,1,2,5,1,1,2,1,2,1,4,1
23,11.5,3,2,2,3,1,3,2,2,1,1,0,1,1,0,0,0,2,1,4,2,2,1,2,3,4,2,1,2,1,2,3,2,3,1,3,2,2,4,1,0,1,2,2,2,2,4,3,3,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,4,3,2,3,1,6,2,4,0,1,2,2,1,1,2,1,2,1,1,0,3,1,3,3,2,1,1,2,1,2,1
24,12.0,3,2,2,2,1,2,2,1,1,0,1,3,2,2,2,1,2,2,2,2,2,1,1,2,4,3,3,2,1,2,2,3,2,1,1,1,1,1,3,2,2,1,5,0,3,1,1,2,2,1,2,2,2,1,1,2,3,4,5,0,1,3,3,1,1,2,2,2,1,3,1,0,2,1,3,4,3,3,0,2,1,1,3,3,1,3,1,3,3,2,2,2,1,1,0,1
25,12.5,2,2,2,4,1,2,3,3,3,1,1,1,2,2,2,0,2,3,3,2,3,1,2,1,3,1,3,5,3,2,5,1,2,2,1,2,7,3,1,4,2,2,3,1,4,1,2,2,1,1,2,1,1,1,3,1,1,2,2,3,3,3,0,2,4,4,2,2,3,2,4,1,4,2,1,3,3,2,1,0,2,2,0,1,1,2,4,1,3,1,1,1,1,0,3,2
26,13.0,3,2,0,2,2,2,2,2,2,1,1,1,1,0,4,3,1,2,1,2,3,5,2,2,2,1,2,2,3,3,1,0,2,4,2,1,1,0,1,1,2,2,2,3,3,2,1,1,2,0,1,5,2,0,3,2,4,2,3,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,4,2,1,1,0,1,3,1,1,2,4,3,2,2,1,0,1,3,4,3,2,1
27,13.5,1,1,3,2,2,1,3,2,3,0,3,2,2,1,3,3,1,2,2,2,2,2,1,3,2,3,1,4,1,3,1,5,2,4,3,5,2,2,1,4,1,1,2,3,3,4,2,1,2,0,1,2,3,3,2,2,1,3,3,2,0,2,1,2,3,2,3,1,1,2,2,2,0,1,4,3,0,2,2,5,1,1,2,1,1,3,1,1,3,3,3,4,5,1,2,3
28,14.0,2,3,2,1,2,2,1,2,3,3,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,0,1,3,2,2,4,2,1,2,1,2,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,3,2,2,4,0,1,1,3,1,2,2,2,3,3,2,2,1,1,3,2,1,3,1,3,1,1,1,2,3,3,2,2,2,4
29,14.5,0,0,2,2,3,4,3,1,1,2,2,1,4,1,1,3,2,1,3,2,1,2,3,0,2,3,0,3,3,4,1,1,2,1,2,1,1,1,2,1,2,2,0,1,1,1,4,3,3,1,2,1,2,2,1,1,1,3,3,1,3,1,4,3,3,3,3,1,1,1,2,2,3,2,3,2,0,2,0,1,2,4,1,1,4,2,3,1,3,1,4,1,2,2,0,2
30,15.0,2,2,2,2,2,2,4,1,2,2,2,2,1,2,2,2,1,4,0,2,3,2,2,3,2,3,2,3,2,4,3,3,1,0,3,2,2,1,1,1,2,1,2,3,1,4,2,3,1,2,3,2,1,2,2,2,1,1,1,2,2,3,3,2,1,2,1,0,2,3,1,1,2,3,2,2,1,1,3,1,2,1,1,1,3,2,3,1,1,2,2,1,1,0,2,2
31,15.5,2,4,3,3,1,4,2,3,3,3,1,2,3,3,0,1,2,2,1,3,2,3,0,2,2,1,1,3,1,3,2,2,2,1,1,2,1,3,3,2,1,4,1,0,1,3,1,2,2,5,2,2,2,1,2,1,2,4,0,2,2,2,1,1,3,1,2,1,2,2,2,1,1,2,3,1,2,3,1,2,2,3,2,1,2,1,3,0,4,2,1,3,3,3,1,1
32,16.0,4,2,1,3,3,1,1,2,2,2,3,1,1,2,1,3,0,3,2,0,2,4,1,3,1,1,3,1,1,3,2,3,0,2,2,1,1,3,2,1,0,1,2,1,1,0,1,2,3,1,1,3,1,3,4,0,2,2,2,3,2,2,2,0,4,1,2,3,3,1,1,1,0,3,3,3,1,1,2,1,3,3,2,1,2,1,2,2,3,3,2,0,1,2,2,1
33,16.5,1,2,2,1,2,3,2,3,2,1,2,2,3,2,1,1,1,3,2,1,1,1,2,1,2,1,1,2,1,1,1,4,3,3,2,3,1,1,6,2,3,1,1,3,1,1,4,5,1,1,0,0,2,1,0,2,3,1,2,1,3,2,0,1,3,4,1,1,2,2,1,1,1,3,1,2,3,2,1,2,2,2,2,1,2,2,0,1,3,2,3,1,3,1,2,2
34,17.0,1,1,3,4,1,1,2,3,2,1,2,1,1,3,2,2,2,2,2,1,0,1,2,1,1,1,2,1,3,1,1,3,2,1,2,4,2,2,2,1,2,2,3,2,1,2,2,1,2,2,1,1,4,2,3,2,3,2,2,2,2,1,2,4,3,2,1,1,1,1,4,1,2,3,2,3,1,3,2,1,2,2,1,3,2,3,3,1,1,0,2,3,2,2,2,1
35,17.5,2,1,1,1,1,1,3,1,1,2,2,3,1,2,1,1,1,2,2,2,1,1,3,0,3,1,1,5,1,3,3,2,4,2,1,2,0,2,1,3,2,1,1,2,2,2,3,3,1,1,2,1,2,1,2,1,2,1,1,3,2,3,0,0,1,2,1,2,2,4,2,2,2,3,6,0,2,1,2,3,4,2,1,1,1,4,2,2,3,2,3,3,2,3,0,2
36,18.0,2,2,2,1,3,2,0,1,2,4,2,3,1,1,3,4,1,4,2,2,1,5,2,3,2,1,0,4,1,2,1,2,2,1,2,1,2,1,2,2,4,3,1,1,2,2,4,3,2,1,2,3,3,2,3,1,2,2,2,4,3,3,1,3,2,2,1,1,2,4,1,2,3,2,0,3,2,3,2,1,2,2,3,3,1,3,2,3,0,2,1,1,1,1,3,3
37,18.5,3,1,1,2,2,1,1,1,1,1,4,2,0,1,2,2,0,2,1,1,2,1,3,2,2,3,2,4,2,1,2,2,4,2,4,2,2,2,0,1,4,4,1,2,1,3,1,2,1,1,2,3,2,2,4,3,1,2,1,3,1,3,2,1,2,2,2,1,1,2,0,3,2,2,1,2,1,3,2,0,3,1,2,2,3,1,2,3,1,2,2,1,4,2,3,2
38,19.0,2,2,1,1,2,1,1,2,0,3,3,1,1,4,3,1,2,1,2,1,3,4,3,1,2,2,3,4,1,1,1,2,1,2,2,2,1,2,2,1,2,2,3,4,1,2,3,1,3,2,2,4,0,3,3,1,4,2,1,2,2,1,2,3,1,1,1,1,1,2,1,2,3,1,1,1,3,3,1,1,2,1,3,1,1,1,3,4,3,2,2,1,2,2,1,1
39,19.5,1,1,1,1,0,1,1,1,1,1,2,1,0,4,1,1,0,4,2,3,1,3,3,2,2,2,3,3,1,1,2,1,3,2,0,2,3,1,2,4,1,1,3,1,1,1,3,3,2,1,3,3,1,1,1,2,3,4,3,2,3,1,1,3,3,2,0,2,1,3,2,1,2,3,2,0,1,3,1,1,2,2,2,2,3,2,1,4,1,3,2,1,3,2,2,3
40,20.0,2,1,2,4,6,1,1,1,1,1,2,3,2,1,2,1,1,1,3,1,1,1,3,3,2,2,1,2,0,2,1,2,0,0,1,1,1,1,2,1,1,2,1,3,0,3,2,1,2,2,2,3,0,2,2,3,0,1,2,1,3,1,2,3,4,2,2,2,2,1,1,1,0,1,1,0,0,2,1,2,4,2,2,4,1,2,4,1,0,2,2,1,1,2,0,2
41,20.5,3,3,2,2,2,2,2,3,1,2,1,4,1,3,5,3,2,1,2,1,1,2,1,1,0,1,1,2,1,2,1,2,1,2,1,1,4,3,2,4,3,1,3,2,5,3,1,1,3,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,1,3,3,1,0,3,2,3,3,1,2,1,0,2,2,3,3,1,2,2,1,1,3,3,1,1,3,1,1,1,3,2
42,21.0,0,3,1,2,1,1,2,2,1,1,2,5,2,2,2,3,2,3,2,3,1,2,2,1,2,3,1,1,1,2,2,2,1,2,1,2,2,1,3,1,1,2,2,1,2,2,1,2,4,4,4,1,1,1,1,1,1,2,3,2,1,2,2,1,2,2,2,2,3,2,2,2,2,1,0,3,1,4,1,1,3,3,1,2,2,0,2,2,1,2,0,1,1,1,3,3
43,21.5,1,2,2,2,1,1,1,2,2,2,2,3,2,2,4,3,1,1,0,2,2,2,0,1,2,1,2,0,3,1,1,1,2,2,2,1,1,1,1,4,1,2,2,1,2,3,1,1,2,2,3,1,1,1,2,2,3,3,5,3,4,1,3,1,1,3,2,0,0,3,2,1,1,1,1,2,2,1,2,3,1,1,1,1,3,3,2,2,4,1,3,2,3,1,1,1
44,22.0,2,1,4,2,1,3,1,1,1,1,2,3,0,2,3,2,2,1,2,4,1,3,1,0,1,2,2,2,1,2,2,1,3,4,1,3,1,0,1,3,2,2,1,0,1,2,1,2,0,2,1,4,2,1,0,1,2,0,1,3,4,1,2,0,2,5,1,1,2,5,4,1,3,1,4,1,1,0,2,2,2,1,1,2,1,1,4,1,2,1,1,2,4,2,3,1
45,22.5,2,2,2,1,2,1,2,1,3,1,4,1,0,2,2,3,2,1,0,3,3,1,2,3,1,4,1,3,2,4,2,3,3,3,0,3,2,2,0,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,4,2,1,2,1,2,2,3,0,3,6,2,2,1,2,1,3,2,2,2,2,2,2,3,4
46,23.0,2,2,3,1,1,2,2,2,3,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,3,2,2,1,0,3,3,3,2,0,1,2,2,5,2,1,3,1,2,2,2,2,1,1,3,1,2,1,0,2,3,3,1,1,3,0,2,2,2,3,1,2,2,2,1,1,1,3,1,4,2,2,2,1,4,1,3,2,3,1,3,2,3,2,0,4,2,2,2,2,2
47,23.5,2,2,2,1,2,3,2,2,1,3,3,3,2,1,5,2,1,1,1,1,2,1,1,4,1,1,1,1,4,3,2,2,2,1,1,0,2,2,3,2,1,1,1,3,2,1,2,1,2,3,3,2,2,2,1,2,1,1,2,3,1,2,3,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,4,2,2,2,2,2,3,2,3,1,2,2,2
48,24.0,3,1,1,4,2,2,1,0,2,3,1,1,4,3,4,1,1,0,3,1,0,1,1,2,1,2,2,1,1,2,1,1,3,0,2,2,2,2,5,2,4,1,3,2,1,3,4,1,2,3,3,0,1,1,2,1,4,2,3,2,0,2,0,1,5,3,4,2,2,5,2,0,1,1,2,2,3,1,1,0,2,3,3,3,2,3,2,3,1,0,2,1,1,2,2,0
49,24.5,1,2,3,2,2,1,2,1,2,0,2,2,4,2,1,2,3,1,3,1,1,2,1,2,1,1,2,5,2,1,1,2,0,3,2,1,2,3,2,1,2,1,1,4,2,3,2,2,2,3,2,1,3,2,1,2,2,2,1,2,1,4,1,0,1,2,2,1,1,1,1,1,1,2,1,3,3,2,2,3,2,1,1,1,0,1,4,3,2,2,3,1,1,3,1,2
50,25.0,3,2,1,1,1,2,2,1,3,1,2,3,1,0,0,2,2,1,1,3,2,2,2,2,1,2,1,1,1,2,2,1,2,2,3,1,2,2,2,2,2,3,3,0,2,1,2,3,1,2,2,2,3,1,3,2,1,2,2,2,1,1,1,1,2,1,3,1,2,3,1,2,2,2,3,2,1,3,3,3,3,3,3,2,4,1,1,1,2,2,1,1,2,2,2,2
51,25.5,2,2,1,1,2,1,2,0,2,2,1,3,2,2,4,1,2,1,2,2,2,2,2,1,3,2,1,2,2,3,2,0,3,2,3,1,0,0,2,2,2,0,1,2,1,1,1,1,1,1,5,0,2,1,1,1,1,2,3,2,1,2,2,2,3,3,2,1,0,0,1,2,1,2,2,1,1,2,3,2,3,2,1,2,5,3,1,2,2,1,3,1,1,2,2,2
52,26.0,1,3,5,2,1,1,2,2,2,2,3,2,2,1,2,3,3,2,2,1,3,2,3,1,0,0,2,1,3,0,1,2,2,2,1,2,2,1,3,1,3,1,1,2,2,2,3,2,3,1,3,2,2,4,1,3,1,1,1,3,2,3,4,1,0,3,1,3,1,1,4,2,2,3,3,1,1,1,1,2,2,2,3,1,1,1,1,2,1,2,2,3,3,3,2,1
53,26.5,0,2,1,2,0,1,1,1,2,1,3,2,2,2,2,2,0,3,3,1,2,2,1,2,2,2,1,2,2,1,1,0,0,0,3,2,2,3,2,1,2,1,2,1,1,2,1,1,1,1,2,4,2,2,1,2,1,2,2,2,2,1,2,2,2,3,0,5,2,1,2,2,1,1,3,1,1,2,3,2,2,4,2,3,3,1,1,2,1,0,2,3,2,1,1,0
54,27.0,1,0,2,1,1,3,2,1,2,1,2,2,3,3,0,2,1,2,2,2,1,2,1,1,3,1,1,1,3,2,1,2,1,3,2,4,1,1,2,2,1,2,3,1,4,2,2,1,2,0,1,7,1,2,0,4,2,4,4,3,1,3,2,2,1,1,5,1,4,1,3,2,1,3,0,1,3,1,1,1,2,2,4,2,2,1,0,1,1,2,2,1,0,1,2,1
55,27.5,2,2,2,2,3,1,3,1,1,3,3,2,6,2,2,1,2,1,3,3,1,3,2,1,1,0,0,2,2,0,1,2,1,3,2,2,3,3,0,1,1,1,3,3,1,2,1,2,3,1,1,5,2,2,2,1,1,3,2,1,1,3,2,1,2,2,3,1,1,3,2,2,1,1,3,4,2,3,2,1,2,3,3,1,4,2,2,1,2,1,2,1,1,0,2,3
56,28.0,1,2,3,1,2,3,1,1,2,1,3,1,1,2,1,1,4,3,1,2,1,4,1,1,1,1,4,1,1,0,3,0,1,1,3,3,1,1,2,1,2,1,3,2,1,2,2,2,3,1,3,4,2,2,2,3,1,0,3,1,3,2,3,4,1,3,3,2,5,3,3,3,2,2,2,1,2,1,5,1,3,1,3,4,2,2,1,2,1,1,1,3,2,2,1,2
57,28.5,2,4,2,1,2,2,3,1,3,2,2,3,1,1,1,3,3,3,1,2,1,2,1,3,2,1,2,3,1,2,3,2,1,1,2,1,3,1,2,1,1,1,1,1,0,1,1,2,3,1,2,3,2,1,2,1,2,3,3,0,1,0,2,2,2,4,2,2,3,2,1,3,1,1,2,1,2,3,2,1,2,1,1,2,3,1,1,3,1,1,1,2,2,1,3,1
58,29.0,2,3,2,1,1,0,2,2,2,4,2,1,5,1,2,3,2,1,1,2,1,2,1,3,2,5,2,3,2,3,3,1,2,3,2,2,3,1,3,2,2,2,0,1,1,3,2,3,3,1,1,2,2,2,4,2,2,0,2,3,2,0,0,2,2,1,1,2,2,3,3,3,3,3,0,3,1,3,3,1,0,1,1,1,2,2,2,1,1,1,1,2,2,1,2,3
59,29.5,1,2,2,1,3,1,2,5,3,1,2,2,1,2,1,3,2,2,1,2,1,1,3,2,3,2,1,3,0,1,4,3,1,1,0,1,2,3,1,2,2,0,2,3,1,3,2,1,1,2,1,2,0,2,1,2,0,4,2,1,5,2,4,1,2,3,1,3,2,3,3,1,3,1,2,2,1,4,2,1,2,2,1,1,2,0,1,4,2,1,2,1,2,1,3,3
60,30.0,3,1,1,1,3,3,2,0,2,2,1,2,2,2,2,1,1,1,0,1,2,1,2,1,3,2,2,3,2,0,2,2,1,0,1,2,1,1,1,3,2,1,2,3,1,2,4,3,2,2,2,3,2,1,2,2,1,1,2,3,1,2,1,4,2,1,1,1,1,5,2,1,0,2,1,2,3,1,1,1,2,2,2,2,0,2,3,2,1,2,1,3,2,2,2,1
61,30.5,2,0,1,3,3,5,1,3,2,2,2,1,2,2,1,3,1,2,0,3,2,2,1,2,1,1,3,1,1,1,2,3,1,2,3,2,1,2,1,2,4,0,2,1,4,2,1,3,2,1,2,4,3,1,1,1,1,3,1,4,3,2,1,2,4,1,2,1,2,2,2,3,2,2,2,1,2,2,1,1,1,3,1,1,2,3,4,2,1,1,2,1,1,1,1,5
62,31.0,2,2,2,1,0,3,2,2,2,2,2,1,3,3,3,1,2,2,2,2,3,3,0,1,1,2,2,4,1,1,2,2,1,1,1,2,1,1,0,3,6,1,2,1,3,4,2,1,2,2,2,3,3,1,2,1,0,1,1,2,1,2,0,1,5,1,0,1,1,2,2,4,2,3,1,3,1,0,0,2,2,2,2,2,1,1,2,1,1,0,2,2,2,0,2,2
63,31.5,1,1,1,2,3,2,1,1,1,1,2,2,3,1,1,1,3,2,3,2,1,1,2,2,3,4,2,4,1,1,4,2,3,2,1,2,1,2,2,2,3,2,3,5,1,1,1,3,2,1,1,3,1,1,1,0,2,1,0,3,1,3,4,1,0,3,1,1,0,1,3,3,1,1,2,2,1,1,2,1,1,3,2,2,4,2,2,1,2,1,1,1,2,1,2,1
