frame,time,type,name,concentration
79,39.5,topo,gyrase,0.25
80,40.0,topo,topoI,0.25
80,40.0,topo,gyrase,0.25
81,40.5,topo,topoI,0.25
81,40.5,topo,gyrase,0.25
82,41.0,topo,topoI,0.25
82,41.0,topo,gyrase,0.25
83,41.5,topo,topoI,0.25
83,41.5,topo,gyrase,0.25
84,42.0,topo,topoI,0.25
84,42.0,topo,gyrase,0.25
85,42.5,topo,topoI,0.25
85,42.5,topo,gyrase,0.25
86,43.0,topo,topoI,0.25
86,43.0,topo,gyrase,0.25
87,43.5,topo,topoI,0.25
87,43.5,topo,gyrase,0.25
88,44.0,topo,topoI,0.25
88,44.0,topo,gyrase,0.25
89,44.5,topo,topoI,0.25
89,44.5,topo,gyrase,0.25
90,45.0,topo,topoI,0.25
90,45.0,topo,gyrase,0.25
91,45.5,topo,topoI,0.25
91,45.5,topo,gyrase,0.25
92,46.0,topo,topoI,0.25
92,46.0,topo,gyrase,0.25
93,46.5,topo,topoI,0.25
93,46.5,topo,gyrase,0.25
94,47.0,topo,topoI,0.25
94,47.0,topo,gyrase,0.25
95,47.5,topo,topoI,0.25
95,47.5,topo,gyrase,0.25
96,48.0,topo,topoI,0.25
96,48.0,topo,gyrase,0.25
97,48.5,topo,topoI,0.25
97,48.5,topo,gyrase,0.25
98,49.0,topo,topoI,0.25
98,49.0,topo,gyrase,0.25
99,49.5,topo,topoI,0.25
99,49.5,topo,gyrase,0.25
100,50.0,topo,topoI,0.25
100,50.0,topo,gyrase,0.25
101,50.5,topo,topoI,0.25
101,50.5,topo,gyrase,0.25
102,51.0,topo,topoI,0.25
102,51.0,topo,gyrase,0.25
103,51.5,topo,topoI,0.25
103,51.5,topo,gyrase,0.25
104,52.0,topo,topoI,0.25
104,52.0,topo,gyrase,0.25
105,52.5,topo,topoI,0.25
105,52.5,topo,gyrase,0.25
106,53.0,topo,topoI,0.25
106,53.0,topo,gyrase,0.25
107,53.5,topo,topoI,0.25
107,53.5,topo,gyrase,0.25
108,54.0,topo,topoI,0.25
108,54.0,topo,gyrase,0.25
109,54.5,topo,topoI,0.25
109,54.5,topo,gyrase,0.25
110,55.0,topo,topoI,0.25
110,55.0,topo,gyrase,0.25
111,55.5,topo,topoI,0.25
111,55.5,topo,gyrase,0.25
112,56.0,topo,topoI,0.25
112,56.0,topo,gyrase,0.25
113,56.5,topo,topoI,0.25
113,56.5,topo,gyrase,0.25
114,57.0,topo,topoI,0.25
114,57.0,topo,gyrase,0.25
115,57.5,topo,topoI,0.25
115,57.5,topo,gyrase,0.25
116,58.0,topo,topoI,0.25
116,58.0,topo,gyrase,0.25
117,58.5,topo,topoI,0.25
117,58.5,topo,gyrase,0.25
118,59.0,topo,topoI,0.25
118,59.0,topo,gyrase,0.25
119,59.5,topo,topoI,0.25
119,59.5,topo,gyrase,0.25
120,60.0,topo,topoI,0.25
120,60.0,topo,gyrase,0.25
121,60.5,topo,topoI,0.25
121,60.5,topo,gyrase,0.25
122,61.0,topo,topoI,0.25
122,61.0,topo,gyrase,0.25
123,61.5,topo,topoI,0.25
123,61.5,topo,gyrase,0.25
124,62.0,topo,topoI,0.25
124,62.0,topo,gyrase,0.25
125,62.5,topo,topoI,0.25
125,62.5,topo,gyrase,0.25
126,63.0,topo,topoI,0.25
126,63.0,topo,gyrase,0.25
127,63.5,topo,topoI,0.25
127,63.5,topo,gyrase,0.25
128,64.0,topo,topoI,0.25
128,64.0,topo,gyrase,0.25
129,64.5,topo,topoI,0.25
129,64.5,topo,gyrase,0.25
130,65.0,topo,topoI,0.25
130,65.0,topo,gyrase,0.25
131,65.5,topo,topoI,0.25
131,65.5,topo,gyrase,0.25
132,66.0,topo,topoI,0.25
132,66.0,topo,gyrase,0.25
133,66.5,topo,topoI,0.25
133,66.5,topo,gyrase,0.25
134,67.0,topo,topoI,0.25
134,67.0,topo,gyrase,0.25
135,67.5,topo,topoI,0.25
135,67.5,topo,gyrase,0.25
136,68.0,topo,topoI,0.25
136,68.0,topo,gyrase,0.25
137,68.5,topo,topoI,0.25
137,68.5,topo,gyrase,0.25
138,69.0,topo,topoI,0.25
138,69.0,topo,gyrase,0.25
139,69.5,topo,topoI,0.25
139,69.5,topo,gyrase,0.25
140,70.0,topo,topoI,0.25
140,70.0,topo,gyrase,0.25
141,70.5,topo,topoI,0.25
141,70.5,topo,gyrase,0.25
142,71.0,topo,topoI,0.25
142,71.0,topo,gyrase,0.25
143,71.5,topo,topoI,0.25
143,71.5,topo,gyrase,0.25
144,72.0,topo,topoI,0.25
144,72.0,topo,gyrase,0.25
145,72.5,topo,topoI,0.25
145,72.5,topo,gyrase,0.25
146,73.0,topo,topoI,0.25
146,73.0,topo,gyrase,0.25
147,73.5,topo,topoI,0.25
147,73.5,topo,gyrase,0.25
148,74.0,topo,topoI,0.25
148,74.0,topo,gyrase,0.25
149,74.5,topo,topoI,0.25
149,74.5,topo,gyrase,0.25
150,75.0,topo,topoI,0.25
150,75.0,topo,gyrase,0.25
151,75.5,topo,topoI,0.25
151,75.5,topo,gyrase,0.25
152,76.0,topo,topoI,0.25
152,76.0,topo,gyrase,0.25
153,76.5,topo,topoI,0.25
153,76.5,topo,gyrase,0.25
154,77.0,topo,topoI,0.25
154,77.0,topo,gyrase,0.25
155,77.5,topo,topoI,0.25
155,77.5,topo,gyrase,0.25
156,78.0,topo,topoI,0.25
156,78.0,topo,gyrase,0.25
157,78.5,topo,topoI,0.25
157,78.5,topo,gyrase,0.25
158,79.0,topo,topoI,0.25
158,79.0,topo,gyrase,0.25
159,79.5,topo,topoI,0.25
159,79.5,topo,gyrase,0.25
160,80.0,topo,topoI,0.25
