0	7.53354e-07
-.001	8.04212e-07
-.002	8.29874e-07
-.003	8.5683e-07
-.004	8.85164e-07
-.005	9.14966e-07
-.006	9.46335e-07
-.007	9.9442e-07
-.008	1.03086e-06
-.009	1.0694e-06
-.010	1.1102e-06
-.011	1.1573e-06
-.012	3.18614e-06
-.013	3.28078e-06
-.014	3.38e-06
-.015	3.48411e-06
-.016	3.59346e-06
-.017	3.7926e-06
-.018	3.91758e-06
-.019	4.04925e-06
-.020	4.27728e-06
-.021	4.4987e-06
-.022	4.72323e-06
-.023	4.90911e-06
-.024	5.16177e-06
-.025	5.41238e-06
-.026	5.66473e-06
-.027	5.92601e-06
-.028	6.20812e-06
-.029	6.5134e-06
-.030	6.84455e-06
-.031	7.20466e-06
-.032	7.59724e-06
-.033	8.02636e-06
-.034	8.49669e-06
-.035	9.30661e-06
-.036	1.00209e-05
-.037	1.07396e-05
-.038	1.16139e-05
-.039	1.25312e-05
-.040	1.35699e-05
-.041	1.47509e-05
-.042	1.63608e-05
-.043	1.81004e-05
-.044	2.00127e-05
-.045	2.22933e-05
-.046	2.49803e-05
-.047	2.81905e-05
-.048	3.22415e-05
-.049	3.69518e-05
-.050	4.4659e-05
-.051	5.17267e-05
-.052	6.05974e-05
-.053	7.15229e-05
-.054	8.52319e-05
-.055	0.000102507
-.056	0.00012482
-.057	0.000153504
-.058	0.000190775
-.059	0.00023996
-.060	0.000305653
-.061	0.000395572
-.062	0.000515251
-.063	0.00067992
-.064	0.000907958
-.065	0.00122751
-.066	0.00168046
-.067	0.00232824
-.068	0.00326642
-.069	0.00463277
-.070	0.00664444
-.071	0.0096317
-.072	0.0141034
-.073	0.020831
-.074	0.0309957
-.075	0.0463627
-.076	0.0694825
-.077	0.103848
-.078	0.153749
-.079	0.223434
-.080	0.315165
-.081	0.426406
-.082	0.548063
-.083	0.666421
-.084	0.768717
-.085	0.848131
-.086	0.90456
-.087	0.942024
-.088	0.965688
-.089	0.980105
-.090	0.988657
-.091	0.993627
-.092	0.996467
-.093	0.998066
-.094	0.998955
-.095	0.999442
-.096	0.999706
-.097	0.999847
-.098	0.999921
-.099	0.99996
-.100	0.99998
-.101	0.99999
-.102	0.999995
-.103	0.999998
-.104	0.999999
-.105	0.999999
-.106	1
-.107	1
-.108	1
-.109	1
-.110	1
-.111	1
-.112	1
-.113	1
-.114	1
-.115	1
-.116	1
-.117	1
-.118	1
-.119	1
-.120	1
-.121	1
-.122	1
-.123	1
-.124	1
-.125	1
-.126	1
-.127	1
-.128	1
-.129	1
-.130	1
-.131	1
-.132	1
-.133	1
-.134	1
-.135	1
-.136	1
-.137	1
-.138	1
-.139	1
-.140	1
-.141	1
-.142	1
-.143	1
-.144	1
-.145	1
-.146	1
-.147	1
-.148	1
-.149	1
-.150	1
-.151	1
-.152	1
-.153	1
-.154	1
-.155	1
-.156	1
-.157	1
-.158	1
-.159	1
-.160	1
-.161	1
-.162	1
-.163	1
-.164	1
-.165	1
-.166	1
-.167	1
-.168	1
-.169	1
-.170	1
-.171	1
-.172	1
-.173	1
-.174	1
-.175	1
-.176	1
-.177	1
-.178	1
-.179	1
-.180	1
-.181	1
-.182	1
-.183	1
-.184	1
-.185	1
-.186	1
-.187	1
-.188	1
-.189	1
-.190	1
-.191	1
-.192	1
-.193	1
-.194	1
-.195	1
-.196	1
-.197	1
-.198	1
-.199	1
