type,name,site_type,concentration,k_on,k_off,k_cat,size
topo,topoI,DNA,0.25,0.0,0.0,0.001,120
topo,gyrase,DNA,0.25,0.0,0.0,0.001,120
RNAP,RNAP,gene,0.0,0.0,0.0,0.0,32
NAP,lacI,lacOP,0.0,0.0,0.0,0.0,21
