type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2271.0,0,0.0,30.174497211757277,0.014556990201766666
RNAP,RNAP,tetA,1193.0,1,32.0,86.20789117625556,0.07745393879000388
origin,ori,ori,3085.0,0,100.0,30.174497211757277,0.0984871368338276
RNAP,RNAP,mKalama1,3697.0,-1,32.0,-280.6443431684469,-0.1353903902694525
EXT,EXT_R,EXT,7193.0,0,0.0,0.0,-0.06
