test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,width_topoI,threshold_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,width_gyrase,threshold_gyrase,sigma0_gyrase
0,5.979927523811939,0.004461438494067214,0.45447724961741925,10.824402526696911,0.15629192013849297,0.2899966608523739,0.07496359407195329,0.8100781482254843,7.075895778795673,0.1955580908391678,-0.09945536234834187,-0.11
1,2.0920522249132447,0.07846119046983206,0.7171721949000542,18.12548906765231,0.01743539128727091,0.12673553515382807,0.05678546787839232,0.09931706192376936,13.323594336930649,0.10265409764388995,-0.25435912810491534,-0.11
2,29.4173942579005,0.0718845606910301,0.039737735686368465,7.3964539397265145,0.0030896374841825496,0.2514208385547753,0.08694441290796973,0.9232073472327827,11.36140123674924,0.044903983829606406,0.18115557804718813,-0.11
3,5.583351132046799,0.06831608842941723,0.5641760693433868,1.7555737233612168,0.27875228684412073,-0.15409747004856506,0.05551765305989693,0.8002226288582952,6.734033869982414,0.09422357906261597,0.16870277681701445,-0.11
4,3.5683607213000106,0.09906940277879207,0.6501210955275135,0.09516319691067476,0.20265889110625257,0.15477544013614003,0.07836475350264155,0.9801999711235111,10.586481547377392,0.2895522593431798,0.27601466549052117,-0.11
5,3.2114588387386394,0.04824592823201316,0.9889855601314957,7.857640509821544,0.12414493404233537,-0.11045902975011937,0.04990994732436367,0.4280458162680368,5.660526143906495,0.0859897037303758,0.27428197941622307,-0.11
6,12.569149744298128,0.024793469751019162,0.6032211640914752,18.79569396823165,0.2961805961837147,-0.21048798692176662,0.012178445420146185,0.6669057101005139,5.064441874225087,0.18294676094796644,-0.26419409589582815,-0.11
7,26.72418038403658,0.09471636246095538,0.17526489795787462,2.212748070118007,0.22621501613917322,0.04237402406066221,0.06523660697188999,0.07570700125648978,4.36877821732776,0.021084680759222044,-0.26564369914308555,-0.11
8,7.518580187686764,0.09474308924058743,0.8360517597657877,18.977320497142717,0.10070636123142745,-0.12320327938891032,0.0464086445863203,0.4239021095020343,8.755106383307236,0.13047433782111034,0.01023776225887052,-0.11
9,19.18936410599953,0.09509501198599728,0.5859111846843451,1.5334639747449486,0.15583692767189392,0.24936080851484504,0.05528759291114394,0.32952720884966447,13.524487425415074,0.03612054874524057,-0.22910423471646651,-0.11
10,1.470102599036629,0.03827923720202991,0.9951670749589498,9.517578542611071,0.22832759680207954,0.11223711705922801,0.030134464915243672,0.020954532585497582,2.384750167726253,0.08324573767815804,0.13973142814662265,-0.11
11,1.942069534988304,0.03617448562455515,0.7943955779962132,0.9948205826989565,0.17651569175263596,0.061583232092519424,0.07529730906049495,0.284152162045722,7.394305533576131,0.17379873931949924,-0.00236869390804223,-0.11
12,2.244092637816308,0.03247048439088753,0.8054323733115127,7.721704333538022,0.21175995266383568,0.16163090688731674,0.05465826593336205,0.39227217437250517,8.742903305005497,0.10304260091132464,-0.1783293115243058,-0.11
13,12.562943174269742,0.01925851415353638,0.054350676897353775,0.5015234324493933,0.03529081553190861,0.02923705168593621,0.02936225949026545,0.09650620976553449,18.17250499082588,0.25771431770853304,0.08249511408096816,-0.11
14,11.536365057757763,0.08994812580075566,0.8609881392440485,13.439756421022729,0.2127082849218141,-0.21153360987583353,0.0018085609490663688,0.5011566337070122,19.820600151223847,0.15128465327256832,-0.13434754809215282,-0.11
15,2.722680893090263,0.011451514869179367,0.7968842351418621,4.6141140685161375,0.04332907909004617,0.04816215345542463,0.07153724146970339,0.6599000528253536,12.963270084275196,0.25724116065769526,0.27202534589663846,-0.11
16,22.4576548584853,0.06032778273169701,0.9903062185464768,8.349901406397501,0.025540370654408864,0.19223326360497112,0.005814924772586507,0.8028956800647691,19.273764748186654,0.06349247852187583,0.02384994506039112,-0.11
17,25.572469097344673,0.057054672551071946,0.63747931512785,17.427501427118642,0.13311161104135635,-0.1540320942016086,0.022411118651703168,0.8448487930778583,0.37841891081831003,0.18523855040397058,-0.21941111353072762,-0.11
18,1.5813271157444433,0.06348397634256704,0.6033160133798887,0.4807845676740796,0.2916803940971275,0.27457718315149676,0.03405126085147442,0.44524967162155693,19.04347769964178,0.2478572691683986,-0.179681163569693,-0.11
19,1.2826592155288572,0.019994929211327808,0.41111394379037725,7.111020500358012,0.15658588388924305,0.19919422081088023,0.03901616028349174,0.739544527967935,12.499718198018615,0.236471753474451,-0.05535765318956132,-0.11
20,27.539804793344477,0.04446852904888662,0.3875653289420546,12.60610795929197,0.25736134090946094,-0.04152880615738639,0.039253263802482785,0.6404328839893605,0.06283290977006573,0.2221671061172899,-0.0544675274799699,-0.11
21,13.52815122501756,0.0021426308773334554,0.30905772534900355,4.85139583835291,0.10640256376931899,0.1037012477753597,0.019722806471504505,0.20146391944966044,16.94101976246154,0.2993762399517978,0.09738291574794147,-0.11
22,14.128712898520739,0.037627333512121164,0.2656923175098692,13.821885106661696,0.2499583818983457,0.1916161394698511,0.042159846652429125,0.6886588346684475,2.1073023959218986,0.13492829909397225,0.16398217550207145,-0.11
23,2.0539825215423466,0.022233926529785755,0.47044659493278607,10.545551652652358,0.18089039930952652,-0.014304773226825274,0.025923486156771734,0.5617078558649056,15.8604900872783,0.0071873130866774715,0.08865962949645606,-0.11
24,8.986673421156961,0.027845300447115202,0.15250962457291195,15.6977131736049,0.06968431657950575,0.21949650170864887,0.015735899830459428,0.5716083472199822,2.183854650272192,0.2289408227896356,0.2141229465408282,-0.11
25,1.3377473871423295,0.015283295857249538,0.3783186363396767,5.109384208892013,0.2392687955541139,0.09645315253046241,0.035418722797852326,0.21356498616272832,15.108900251721666,0.07094269905074933,-0.05237801605392548,-0.11
26,1.4049048281086238,0.013104445311411424,0.362059677669332,4.931828404355149,0.1827796518013639,-0.297268432778176,0.038151796571316295,0.19296744063244803,15.356111468127372,0.15313337978903963,-0.11528533444574882,-0.11
27,4.364699294263149,0.010555360257058185,0.21204345194337973,3.4709132252006554,0.08901461177089534,-0.05674564426932713,0.06650520450225701,0.2569560141412206,14.96744631661493,0.27498166293866866,-0.05272298723074075,-0.11
28,11.041977093128558,0.0017695495894696107,0.41560146333765124,6.302852291584176,0.24939316078210644,0.2982295721728717,0.09699886763809186,0.740188635243938,11.847121497780542,0.20285781025022573,-0.053869322588159324,-0.11
29,1.176729667316431,0.016810978192236193,0.45625071717357435,6.074601511268843,0.14141076750741424,0.08026006305324875,0.011574567713181893,0.9067476454007539,17.241773412191073,0.20990860865023153,-0.0830779952125611,-0.11
30,0.4871917033851625,0.0065441590138378206,0.48938628552461494,11.82529173123994,0.13755004188931505,0.1526661377030616,0.01090380318341519,0.9814444462418418,16.867766480875677,0.21108692475168944,-0.1551395487555443,-0.11
31,1.2145753871943243,0.007795606571601665,0.5246639109809392,11.883853069686982,0.06543954816412824,0.15086795464366895,0.00770001387018659,0.9885893658383499,17.548161358228317,0.2045436058612302,-0.15792098790153244,-0.11
32,6.693539689601202,0.0013851147023920402,0.7060736982210342,9.737103433888738,0.1350156918893976,0.003254356792599042,0.003215211474273139,0.9037428242164538,14.218456115817707,0.2199370753504323,-0.0940711353631378,-0.11
