test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
0,3.6859492975818657,238.49537932074585,13.92705052513784,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
1,1.847147541679283,74.27780768131879,20.916942164347684,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
2,4.680771737080538,149.1814139752203,38.91271329259736,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
3,1.7413538364619827,168.3294553760746,27.998839132751755,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
4,5.811514454207674,189.02968510511647,47.678657521600364,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
5,0.4443740999267561,181.12197383382016,25.482616319021595,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
6,1.7962564027897527,214.1134216429919,25.09222746920793,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
7,0.5533361039101093,374.72086984662735,44.81619967508634,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
8,2.42560245983907,136.33926542823477,15.048643630410197,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
9,13.153255199986733,475.9029249541861,30.17869814067819,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
10,1.5336501400612148,258.9483792656197,4.888505322963781,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
11,1.4957111200000899,395.8793276144524,39.962499940189375,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
12,13.690198269718394,100.1598537726453,47.17440715633544,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
13,7.985085198468213,453.5008932130281,34.90493323208333,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
14,4.002514971148549,152.35771617808476,15.030008006357255,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
15,10.570217232738466,381.35723532149217,25.953870909736217,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
16,1.370083210484578,225.8462010965368,39.76183037548181,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
17,0.10721942534879914,128.42957980708087,9.642058279827276,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
18,19.519705641121217,256.1863238815421,43.332668463099985,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
