test,loss,gamma,k_on,superhelical_op,spacer,k_closed,k_open,width,threshold,k_ini,kappa,velocity,stall_torque,k_off
0,3.6859492975818657,0.4823644595366118,0.4860165293727748,-0.06,17.0,0.28346426081766296,0.24779865016574049,0.005,-0.042,0.06537748457792646,0.5,30.0,12.0,0.16726036913126102
1,1.847147541679283,0.7016529576938016,0.3045513357254186,-0.06,17.0,0.48441464728760847,0.14733183254809135,0.005,-0.042,0.2441855486380401,0.5,30.0,12.0,0.18698390823055305
2,4.680771737080538,0.6409931939856016,0.4717828122418038,-0.06,17.0,0.4786640729548278,0.06770532616846023,0.005,-0.042,0.3684722404617614,0.5,30.0,12.0,0.36597095451472433
3,1.7413538364619827,0.08526281051809442,0.17608788115482613,-0.06,17.0,0.2501613055057846,0.23927365797432265,0.005,-0.042,0.3271591367227301,0.5,30.0,12.0,0.3092286109405353
4,5.811514454207674,0.4683045487251002,0.0741075072307007,-0.06,17.0,0.23264713124754066,0.32118184727353777,0.005,-0.042,0.2903373697549468,0.5,30.0,12.0,0.21078581073304087
5,0.4443740999267561,0.7643855529033869,0.40075849004693864,-0.06,17.0,0.4998939420333887,0.026976001711038942,0.005,-0.042,0.15474172190666344,0.5,30.0,12.0,0.3945148115955183
6,1.7962564027897527,0.2188958752188637,0.056501301285232994,-0.06,17.0,0.2645490518873103,0.4360569193327603,0.005,-0.042,0.14394387485377022,0.5,30.0,12.0,0.22602096395778343
7,0.5533361039101093,0.12892773656647144,0.04142000453052016,-0.06,17.0,0.4544251528762463,0.18148930538526792,0.005,-0.042,0.43045616578880724,0.5,30.0,12.0,0.4491381877942748
8,2.42560245983907,0.8091586745732195,0.22097136439800377,-0.06,17.0,0.2408802734258485,0.22870727271085872,0.005,-0.042,0.16936495386170608,0.5,30.0,12.0,0.23155133861503654
9,13.153255199986733,0.33440313871809657,0.44410789596739314,-0.06,17.0,0.2645544064010509,0.2720774531351725,0.005,-0.042,0.10104713065154362,0.5,30.0,12.0,0.06122682944525328
10,1.5336501400612148,0.4660431173245283,0.24389210137041234,-0.06,17.0,0.3823191300314688,0.28909778486165094,0.005,-0.042,0.383760328342619,0.5,30.0,12.0,0.28065936366755484
11,1.4957111200000899,0.8989642507845692,0.13910836112204786,-0.06,17.0,0.3185314521741506,0.06438894574975933,0.005,-0.042,0.234973428973337,0.5,30.0,12.0,0.43565376507445897
12,13.690198269718394,0.947555839569018,0.2752185386918627,-0.06,17.0,0.062003362952224784,0.4064692821710826,0.005,-0.042,0.18310409961530288,0.5,30.0,12.0,0.27030845032198497
13,7.985085198468213,0.5925965627936329,0.4983575992254996,-0.06,17.0,0.3186040497555092,0.11773968880056722,0.005,-0.042,0.18056951544146033,0.5,30.0,12.0,0.41558595707161855
14,4.002514971148549,0.24548748195026215,0.14171445535157734,-0.06,17.0,0.1353006273439826,0.3431710014798653,0.005,-0.042,0.4145552947732332,0.5,30.0,12.0,0.1720960739807525
