type,name,site_type,concentration,k_on,k_off,k_cat,size
topo,topoI,DNA_topoI,0.25,0.005,0.6,13.0,120.0
topo,gyrase,DNA_gyrase,0.25,0.005,0.6,-9.0,120.0
RNAP,RNAP,gene,1.0,0.0,0.0,0.0,32.0
