test,loss,PleuWT_k_closed,PleuWT_k_ini,PleuWT_k_off,PleuWT_k_on,PleuWT_k_open,PleuWT_spread,PleuWT_superhelical_op,bridge_off,bridge_on,gyrase_concentration,lacI_k_off,lacI_k_on,leakage,tetA_k_closed,tetA_k_ini,tetA_k_off,tetA_k_on,tetA_k_open,tetA_spread,tetA_superhelical_op,topoI_concentration
20,1.6014126679404286,0.43025047243760056,0.44478182496211904,0.1357938519195557,0.36573708228282803,0.025497168729936744,0.04357331217239307,-0.0924128785194469,0.017640924802117493,0.32409234212622356,35.954332165083095,0.3348512606500871,0.3457034080494906,0.4479086472740749,0.3251244281403154,0.26174391395979757,0.3968187644025304,0.42071654588402435,0.41570483567539246,0.012140774940083162,-0.09875798412089266,10.475499660511145
21,1.5141478747651198,0.28213044431898116,0.2310106761337033,0.021256289062364105,0.35425474611373126,0.0930313041323442,0.032249499429376265,-0.0790696435269002,0.02114068236798763,0.1587439030513108,31.89263158540138,0.34315293682279996,0.10479115959811908,0.3569379674416323,0.07941608838975528,0.4876627614223373,0.4874828806073269,0.2341833957506971,0.3724723783289785,0.019246241223966655,-0.09330567080519851,19.623871148856686
22,1.3553556537306999,0.2667253516204394,0.21161934980283942,0.02753741955060046,0.3524079095730391,0.10029390169586205,0.03178637765172598,-0.07977606427887786,0.019809280946530426,0.32817157726950497,33.53095782989245,0.3335846744809954,0.09997558582784909,0.3426286822333499,0.06347160555328352,0.4947321612643053,0.49494884570580955,0.23276464814962822,0.3712471174420189,0.019700168012712266,-0.09066296944136337,20.284324905005196
23,2.3220374542612117,0.2291893010931795,0.21233570457773468,0.1266160630265906,0.1888995287124805,0.09029208100592334,0.031997002034418486,-0.08314802555369108,0.011719693833738595,0.45060205342973475,39.44067238583083,0.3093905739675015,0.040025020844976916,0.2544981711504193,0.49487862873334126,0.4943396602211061,0.4776775813302834,0.19855786521396798,0.38857996495945774,0.02250357445222139,-0.00544585356462788,9.582700064720772
24,4.167884414996896,0.28102594404218517,0.10526561598289581,0.3868888727542775,0.3105528903739096,0.1436079257848538,0.03158258800107514,-0.07297423750317593,0.025118676819381375,0.32807013384983824,47.110350329887055,0.2366013325467093,0.12401945741569413,0.3392453596318701,0.34855020000017434,0.4449862549431224,0.41263606550819404,0.2564602446395716,0.319539478329209,0.015740998938426422,-0.09015886745138621,21.546558383623037
25,1.1435409540220092,0.17582251809853816,0.023143275658169007,0.010349082104166352,0.4888090682985765,0.06066975478262131,0.03793851004345965,-0.040242954175236545,0.01070002692690835,0.4345843210237227,32.15470458465694,0.3818895454616168,0.043587190861445364,0.2605895535446974,0.2693613942037046,0.018561856044012726,0.43079368898511844,0.01157562742318613,0.19644271938019897,0.00986974628690587,-0.0679706949173995,25.306900185239893
26,1.2120259673539195,0.18404175534648798,0.4377194150817655,0.0137561433027508,0.4895293789592159,0.1318761177111393,0.027637065413170875,-0.038706570249522364,0.011227779969947083,0.43794655219658973,31.05754620377114,0.48626767156615014,0.04867894485780607,0.26900280549323063,0.2844753858901136,0.011523666096981022,0.49595559956561003,0.022845471751132523,0.19243554475424668,0.009975887614969758,-0.07015749984383753,25.361835020364573
27,1.2332125390280524,0.16522593644942468,0.4914340721444653,0.013784366725961967,0.4860901465759873,0.14970495847224563,0.026590558284418767,-0.04236852909827061,0.009940753895620123,0.4999985760699525,30.00257632248445,0.377737930275663,0.04796495624299837,0.27376261816264486,0.2798873613684942,0.010135087802669989,0.4442099989402737,0.027917077859324013,0.18282589062425986,0.006219687817461961,-0.06995479890800486,25.28013462347324
28,1.2152684417869233,0.19575226368518295,0.4438291695322763,0.11714954182873692,0.4983032047044501,0.053296110973948416,0.038127340738559716,-0.03599456777049548,0.00933542791368155,0.4415753959621511,45.05376628503993,0.4958100262341323,0.05461418117031922,0.08026606199262568,0.21205295203791777,0.013581485174692338,0.3595086666426728,0.061916649608597614,0.1594579913533398,0.009638785948936933,-0.07986554067815854,33.48584762685916
29,0.8814985782761596,0.14001325204750592,0.415778876793065,0.2370276542082272,0.46560033974473813,0.28590685930723675,0.03442423081659544,-0.04153782879406366,0.015147852586522112,0.4269343263205436,25.709060298457175,0.4638961860811972,0.024251198000122126,0.2457266854821287,0.27132715378096434,0.055110591927159114,0.49959155713865633,0.06064590847646495,0.21239282062182308,0.010042243585985726,-0.06949177791759044,25.563242375237973
30,1.2889084954544012,0.0665313025800325,0.3135657745411124,0.36922928551036893,0.39866859615667827,0.2957508807130411,0.04122479959545328,-0.053470187462865096,0.0011233605634594322,0.4728744698714039,24.28827808792291,0.4670499012567626,0.13313330915225066,0.23237812825230392,0.17785231558020714,0.05902753136482657,0.3699695607325566,0.06932461838162939,0.277835024474882,0.008524642700452832,-0.08331774892002612,27.221921745277427
31,0.8793877539129811,0.13748365098702703,0.39162723398381394,0.23473744754361184,0.4505798563555497,0.2606721179154194,0.03430562908109315,-0.045819156111533206,0.04484023316391119,0.41943950307394673,24.179946926655823,0.39089173732896926,0.013729600233071706,0.2232685052034581,0.2581633460935274,0.04140298087159508,0.28510563707559566,0.12057198493130988,0.21864439477865444,0.005284688845419519,-0.09888278422658106,23.834018673736256
32,0.9848888359538739,0.14310170156539537,0.40030267125515856,0.244073540511828,0.46188622415481473,0.25340141394029037,0.034608175535122326,-0.045028228006659066,0.04412723754161178,0.28580583693675865,24.219578775203807,0.46135629328401906,0.026720550581612407,0.21853251604294213,0.10291201662357277,0.2478017596992348,0.2070976738652229,0.11288852108964148,0.13676404270907866,0.005710477353933128,-0.09994715423132491,23.023464277216426
33,2.04615608341495,0.07340182452280868,0.39799883965237953,0.3058412379606926,0.408389678449627,0.2940893514327282,0.023332187591908936,-0.05095253853244743,0.07570261454164576,0.4063569239554396,41.04980185026317,0.4163404259139052,0.012973157446999404,0.10681394961895349,0.24646722510012184,0.04695882297934445,0.28518711944710684,0.12210977704213202,0.23141821095367499,0.01177142691578337,-0.018386386004195232,21.51860749753766
34,1.6107834326914716,0.2274887527466511,0.4723181623906732,0.3660360150382459,0.3859738575889775,0.2029660323650592,0.04998856557788471,-0.00025658704203197075,0.06958933608431833,0.4853692471431851,48.71486626570753,0.3890646414722598,0.1873532314213097,0.12845246334397473,0.20364332507130245,0.0984752139494847,0.13852750401484992,0.1642500756260872,0.2995576539454947,0.022418876139530072,-0.09544189113392688,30.512291553474263
35,2.6933683475570263,0.1327337496756399,0.3146520419175525,0.23654389785178448,0.27700586503312646,0.22768313151572417,0.03478727667435288,-0.02285805455239071,0.03734436354790063,0.3523709873724136,22.587896590213994,0.42711874268170896,0.07176580683495916,0.2107408607124841,0.45372187945165243,0.09934258452341083,0.24954740714881046,0.047216358969333,0.22393343250624242,0.017433972617973973,-0.085238203341526,32.864730431434424
36,4.321982472070998,0.1547098182911221,0.36400957188145283,0.2937837735372145,0.20216168695476303,0.3028048279775801,0.029205972242147576,-0.030614616664390932,0.05561368113828361,0.4169556292736503,61.83875798921302,0.30935650292480205,0.24740346324710222,0.0853723067082919,0.15840901288334136,0.20973612997390784,0.34027537651673456,0.08452754337069802,0.34256148874533576,0.044793036127900775,-0.07592184429465228,27.55387611205782
37,1.2220884814953437,0.10547610031129545,0.4209167350067758,0.407897778984157,0.4634081958768571,0.3762245245488809,0.02351532643279875,-0.05452820262509969,0.049034024824972815,0.35220209424682414,27.133961027611345,0.06753388333253854,0.01026210155719217,0.16265050495860922,0.33378445407590696,0.044226733688347605,0.16708961350895857,0.12689168260381123,0.28101312813182727,0.032583469236187684,-0.06055050175500579,18.906339326318754
38,4.902207516861789,0.011073819249447725,0.49575325092706557,0.33894055880031637,0.052471262967867166,0.2679372416292554,0.04050996705759155,-0.02028567899686849,0.06581902009154136,0.05507845416797735,73.7087570610289,0.2137788473201726,0.16249740055256456,0.3065400463756351,0.297669837132614,0.09276090301563415,0.2978687415053739,0.19851957254707955,0.14739487463845982,0.027340142912975225,-0.039755341649682585,23.928013212509452
39,1.163826722976506,0.22860415806134077,0.4695708712976886,0.1776558383064856,0.3355748265066568,0.17584775406094022,0.03518892434299191,-0.046097776731867775,0.060522483142449,0.4758295144666928,43.53152129454624,0.3621300561473927,0.14203136590180704,0.24738936097331157,0.23590742410705717,0.21914752658013253,0.26015102976050675,0.037983240907801225,0.21099623082310126,0.03533717634516268,-0.08647029367042236,12.604470413609302
40,1.398782922491487,0.04531178744007916,0.3161243939077904,0.267442307781827,0.4312461252699211,0.3269739191707067,0.04062026630085127,-0.030684613368789415,0.04167537356580355,0.29143197366218,50.11334006122007,0.470639397547602,0.11341377067987043,0.19785486273339692,0.38018593753189445,0.16565684036388692,0.37749912282391745,0.28626865600893137,0.10920152890450295,0.005153220580762355,-0.07282068576318723,28.59942280738585
41,2.135522091205134,0.12316756408117016,0.3786038728651601,0.42505005133187546,0.13654770425235646,0.2333245108146486,0.04740385278515594,-0.010827817023081478,0.03106616659422142,0.20419175843152595,38.17121648353309,0.29977229532926375,0.18672545816407188,0.31105174287838333,0.4352723792527234,0.039488242020306735,0.02241072999356719,0.14159278822815535,0.2521703031551969,0.017188244706956284,-0.05090248420747342,15.62674975243134
42,10.193364121762464,0.08283523321294275,0.24643495531844217,0.33736360256089065,0.38509289546992154,0.27976428052205826,0.019300351464866097,-0.003991201983979641,0.05144436268444435,0.3099231343581491,35.705957398135574,0.4056732091886097,0.35533112727181465,0.050032337964602075,0.17901429784683995,0.11737348849460613,0.11955246817692239,0.08756715620630906,0.4981100425473924,0.040142090983445816,-0.0656434676352011,30.3895226751766
43,1.534769583348717,0.012664953811874782,0.28285301378814215,0.22400261410683817,0.42425421570260774,0.4697814463229091,0.024977269246924137,-0.07340421217897967,0.004508964365909217,0.35648501492851103,42.38980909258946,0.4455643903958297,0.23790372400925325,0.4081336607031367,0.4918823865894161,0.18674700490759696,0.2077349635269115,0.18076645031963107,0.17323528574551825,0.01200352787613791,-0.09790107580938713,18.464296227015595
44,10.396574604754493,0.24482322958252922,0.3452206643510455,0.16791365751922638,0.2840689620406525,0.3758405208521022,0.013564368980722427,-0.01775226835920845,0.016699789119130372,0.420366953125065,27.822881775005648,0.23806510051998428,0.30689520341667087,0.14123350724681788,0.2662189170616784,0.2426725605755754,0.45253761648024143,0.0571015307125646,0.2926815737689765,0.026967046789414688,-0.05567613956206611,26.48666271298635
45,1.7355609701634283,0.057050902981925236,0.41291023106631014,0.10651411450403989,0.45288619804427344,0.321346059614045,0.04573916438930493,-0.03478819100025192,0.023370098529692438,0.11732115257292552,62.46267542211655,0.4258273254832675,0.08723178405565724,0.291487237505354,0.10733537621059905,0.07911210339305945,0.06395774041169527,0.10614940670246639,0.12020823225499346,0.005119034638295299,-0.022008543968790012,22.194766747309785
46,6.906698032748739,0.2121643863955437,0.45439565196037446,0.4737574645961522,0.4674596666279177,0.18459789074945515,0.02892974606281297,-0.0266003606520068,0.0979452506913468,0.2729971087055082,73.73691552922386,0.36972632915232906,0.4949795159825384,0.23274199945136906,0.2200514052999707,0.282094377956164,0.31740931170082004,0.1576618682281067,0.015734031233563234,0.030104154299677978,-0.04057794736043392,23.645065506168194
47,1.2511623295820542,0.0990870124434405,0.3283010262027504,0.19523241322671278,0.20654984092013512,0.3509350598509655,0.04247234958702208,-0.051308322256248116,0.07474423730406238,0.3947608480728698,53.59201173473434,0.3937536097619423,0.06610841928005216,0.166417846538696,0.31112258469450327,0.3714557356485367,0.46587007592843843,0.19824428326068502,0.353021103758063,0.021392165311790824,-0.045930611379110406,15.657796726485836
48,145.08681301480257,0.3733027249738911,0.42158062551452213,0.15134401086747917,0.1649009378124413,0.2205671061413369,0.014197204675579656,-0.06303715196479971,0.04709110384670399,0.21917964776355475,22.928496034459172,0.08640640835305152,0.1487857153520689,0.3777277359237385,0.38894000103783394,0.13249194627408423,0.34097951171767543,0.0752067160082932,0.20942007099330506,0.04986081130753611,-0.07764115461364166,28.205313447987095
49,1.524865022673597,0.15528275371689929,0.3674175617682901,0.2784056938510612,0.41142648042707636,0.12561534863773266,0.029934729484803385,-0.057986323508948875,0.08239731313820803,0.37743217125718675,58.9589226523932,0.481132356525664,0.175438029520752,0.19703531580711126,0.3528500391589314,0.1770707158362957,0.4030923307820721,0.012028625770831594,0.24761288792764052,0.013670995278814314,-0.08818777179731094,26.182569693681394
50,12.44543461761832,0.1189096850849911,0.25215780700733226,0.2508609025226748,0.32973431023937216,0.42488168420818406,0.03596124113052386,-0.09387607347068627,0.035500888350254535,0.4636657443722703,22.39942708025073,0.2584184688577783,0.025104009749848437,0.013756792843412885,0.29439814026961436,0.07327235477636942,0.17287215963078156,0.3869674109085085,0.4219164174408199,0.015464856768665053,-0.07381592308478065,16.53693313845205
51,1.3997724712518607,0.30978399706184767,0.2936240606784696,0.0512663111583066,0.378792944868402,0.3872759053123513,0.03944090045036731,-0.06983750862896013,0.07093944351215035,0.2581229502616593,29.475666051833105,0.28752766545918285,0.2822390836405759,0.32464595430996956,0.017925203673162443,0.34319363185254265,0.23271349993541868,0.13754070355324755,0.06490290038533264,0.041878313691477785,-0.09400998398989097,20.615337929398798
52,8.866022969525863,0.4168290160086978,0.473376686580736,0.21039834865315293,0.04910181875485542,0.16764543649792496,0.021169944061534628,-0.04123987036235472,0.02655898852417341,0.1898771409622988,35.400259918388436,0.45587677855006814,0.39884942400736223,0.11138026161723799,0.2503067070506565,0.031625092544663176,0.27916436634887404,0.17290231204761877,0.2675794202576994,0.007542875133503995,-0.06323214790379106,30.471513436011776
53,1.5410687075051863,0.024978277883109717,0.33552881431189946,0.295138960814604,0.25258720507960575,0.24651578995299986,0.02591341662413589,-0.06117907560750793,0.05486012177497865,0.4972915502129689,25.788161411031123,0.011084429789387756,0.09869342082316329,0.4568910836929441,0.14343798426819804,0.14920980795505712,0.12872742921039548,0.21730830902905093,0.019615277029602113,0.03404820714322317,-0.05570255298581501,14.348838158734596
54,1.3356148712993665,0.262605123798653,0.4983349122497116,0.333252012003836,0.43806813159487645,0.2747147489010503,0.033626556527844916,-0.030332883021650672,0.015516039505093494,0.31033438134927005,33.84826823852125,0.20675477847056906,0.3560729545031569,0.2817338933458847,0.1964382802552746,0.22885956536056268,0.19498478893916588,0.28415932973541413,0.09826436689008325,0.025365724597475915,-0.0808677995661449,24.48455552782283
55,1.9608371591572398,0.48036480282389044,0.20005246200591506,0.18445995616668937,0.34702732262598085,0.4549844886372102,0.047157087905114387,-0.013512643891562669,0.03960779832873523,0.3404218812789817,39.750519282073085,0.35430090870843606,0.46207149118142177,0.18295749491936059,0.3355339456703302,0.1170458431245824,0.30713033568209436,0.4787318975988894,0.1624554752553831,0.01834440534909096,-0.0033306964297063896,33.89470153677475
56,9.93268590043209,0.18164675505474243,0.2749823030308834,0.22722228746604634,0.48009843010834335,0.3534051728739311,0.006663394355448236,-0.036844754001479615,0.060169658108756206,0.12863539646192498,64.7794819681047,0.4335528699011918,0.011167886815819775,0.2444324271094989,0.43022383174817236,0.06182189789881875,0.15735285264859472,0.3463561546999636,0.4015382731372389,0.03787853336002278,-0.031193588125307432,22.47635260300507
57,2.963939663801686,0.09617897094116219,0.3840180630828827,0.35598855576051963,0.3098493631588888,0.49376279592553246,0.030568621979909318,-0.044884803686032336,0.00676934809075346,0.4236534373694508,88.81219940062857,0.32653061663341043,0.33075651160734865,0.037270260077090556,0.18005165925468336,0.28003287322358067,0.4289304591248626,0.09823291799186251,0.31717234878621114,0.011191165148793189,-0.026321635928713442,29.19929813109925
58,8.211131951450874,0.1397723033985321,0.09306852997422313,0.2621155948604968,0.27122802739213,0.33392671695443776,0.018277260283145483,-0.04838583117718643,0.03230575918290271,0.2399071748746477,79.74023626217883,0.1922365605440901,0.23207090137865738,0.3606628295767208,0.11156651822729816,0.1999089728317115,0.013089460808174302,0.04468391144953423,0.19715064998545795,0.008171422334545757,-0.035513678801445105,18.10763645012823
59,1.839345152666133,0.3054635840650175,0.43140996075040566,0.08939236093090094,0.36648725786591324,0.3096907137468038,0.04969399961415817,-0.06635587307501772,0.08359697530381632,0.3701764019684098,44.82000135546683,0.4948803319338669,0.2706387694008484,0.4084481418317106,0.3673885959371811,0.030520829786636755,0.10980066234782884,0.011321281450092431,0.22743573417311613,0.020869848375354147,-0.059116769259003166,19.043209019863617
60,4.096619433842871,0.20234072339070192,0.4060740864305704,0.2832003610449911,0.11898108554255071,0.11499133888241753,0.04304649097575558,-0.075667293523211,0.0443356010158804,0.1647290069136234,51.51808828353321,0.13585256229355552,0.11664037032531674,0.2129614744617563,0.40213004697950144,0.08549293049161097,0.33981455576665437,0.24917569659571756,0.2405237460925405,0.014404837564796533,-0.09127339552407741,21.17523086210885
61,15.362097951687058,0.24642340719261113,0.4525638153694625,0.3157723962324786,0.22656224938925817,0.19403204532176793,0.03672432763259622,-0.08749218634547289,0.0012949667145909852,0.07246974300217257,71.42884476321642,0.4125163220310635,0.20308350832379954,0.09673104550684239,0.4748700034260839,0.14162711602359102,0.47390590192685833,0.11912233512756261,0.4394122019326162,0.025493883100258977,-0.04864968533481661,32.102491009161355
62,4.614457744687655,0.051036344898321415,0.1293627412404162,0.14596958153086634,0.4200298513420249,0.4103636097765655,0.0330776669788882,-0.02255153197458832,0.06620573458325041,0.45397890042335703,85.96990539459487,0.32041067437907333,0.03291053160945867,0.062047892448990616,0.2643012011994419,0.11398960538187627,0.38880536425684736,0.1809690917995595,0.14427923793169078,0.010520672574842122,-0.013595398068159466,8.589500035396163
63,10.560876188854575,0.16573132540060984,0.3520681237938733,0.40246207307653104,0.44825815178696365,0.26462651793157793,0.015524341284789776,-0.006284148487697455,0.02647501228924876,0.3881618429024082,33.177441624573355,0.24436627331757985,0.09254179009969317,0.13175398049261078,0.07420767943832149,0.16821527926287244,0.2712172266017035,0.2176678293357197,0.33278445330711853,0.01635204587534659,-0.09626482588308036,25.96267924492293
64,1.048853985042986,0.35464332620485284,0.24059407519147114,0.0399197552733902,0.40152143077242297,0.2831134284057795,0.045194170550642114,-0.05583193869781436,0.021695565858632918,0.40587252293622167,25.806533450421508,0.35457163153892235,0.06326037497136053,0.2923755043071955,0.047094682991978165,0.39641807265149176,0.042929413698372165,0.14971982728712227,0.051439953692203055,0.029090401733263403,-0.0663392451869001,11.880486673318257
65,1.0451287713507365,0.14214075778043572,0.38956392914639276,0.20725167621702614,0.4645576870383009,0.21295306066857322,0.034295764457901716,-0.04252410127994051,0.044310993041663374,0.27595147338228526,29.789682022314118,0.45729590810089316,0.0795022263390317,0.21476486507848355,0.0921656981576679,0.30521489967717014,0.23151149079398065,0.11895351031074644,0.13146995190446914,0.008897964289215148,-0.09925596619615078,22.935826949986133
66,3.2869359371187556,0.21493894720266016,0.37284498271835975,0.19826037596596444,0.4791054006317596,0.23568120317791022,0.027694332018859527,-0.033472583241422375,0.05245591092409503,0.2975796749893072,38.40550320104511,0.4784616659385878,0.02955462704983493,0.14862571565460664,0.15748313066082448,0.2567509043545193,0.19546904808456683,0.031865427650858646,0.18347993481810457,0.006448975051173387,-0.08738141743482353,25.185614393832108
