type,name,start,end,k_min,k_max,model,oparams
DNA_topoI,DNA_topoI_32,3841.0,3960.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_32,3841.0,3960.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_33,3961.0,4080.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_33,3961.0,4080.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_34,4081.0,4200.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_34,4081.0,4200.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_35,4201.0,4320.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_35,4201.0,4320.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_36,4321.0,4440.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_36,4321.0,4440.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_37,4441.0,4560.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_37,4441.0,4560.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_38,4561.0,4680.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_38,4561.0,4680.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_39,4681.0,4800.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_39,4681.0,4800.0,0.0,0.0,stochastic_gyrase,
DNA_topoI,DNA_topoI_40,4801.0,4920.0,0.0,0.0,stochastic_topoI,
DNA_gyrase,DNA_gyrase_40,4801.0,4920.0,0.0,0.0,stochastic_gyrase,
