frame,time,type,name,twist,superhelical,#enzymes,binding,unbinding
1,1.0,DNA_topoI,30,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,30,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,31,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,31,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,32,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,32,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,33,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,33,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,34,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,34,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,35,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,35,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,36,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,36,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,37,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,37,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,38,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,38,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,39,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,39,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_topoI,40,-179.55548412117207,-0.06,0,0,0
1,1.0,DNA_gyrase,40,-179.55548412117207,-0.06,0,0,0
2,2.0,circuit,topos_0,-179.55548412117207,-0.060012,0,0,0
2,2.0,DNA_topoI,DNA_topoI_global,-179.55548412117207,-0.060012,0,0,0
2,2.0,DNA_gyrase,DNA_gyrase_global,-179.55548412117207,-0.060012,0,0,0
2,2.0,DNA_topoI,0,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,0,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,1,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,1,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,2,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,2,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,3,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,3,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,4,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,4,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,5,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,5,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,6,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,6,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,7,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,7,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,8,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,8,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,9,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,9,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,10,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_gyrase,10,-179.55548412117207,-0.06,0,0,0
2,2.0,DNA_topoI,11,-179.55548412117207,-0.06,0,0,0
