frame,time,type,name,concentration
57,57.0,RNAP,RNAP,1.0
58,58.0,topo,topoI,0.25
58,58.0,topo,gyrase,0.25
58,58.0,RNAP,RNAP,1.0
59,59.0,topo,topoI,0.25
59,59.0,topo,gyrase,0.25
59,59.0,RNAP,RNAP,1.0
60,60.0,topo,topoI,0.25
60,60.0,topo,gyrase,0.25
60,60.0,RNAP,RNAP,1.0
61,61.0,topo,topoI,0.25
61,61.0,topo,gyrase,0.25
61,61.0,RNAP,RNAP,1.0
62,62.0,topo,topoI,0.25
62,62.0,topo,gyrase,0.25
62,62.0,RNAP,RNAP,1.0
63,63.0,topo,topoI,0.25
63,63.0,topo,gyrase,0.25
63,63.0,RNAP,RNAP,1.0
64,64.0,topo,topoI,0.25
64,64.0,topo,gyrase,0.25
64,64.0,RNAP,RNAP,1.0
65,65.0,topo,topoI,0.25
65,65.0,topo,gyrase,0.25
65,65.0,RNAP,RNAP,1.0
66,66.0,topo,topoI,0.25
66,66.0,topo,gyrase,0.25
66,66.0,RNAP,RNAP,1.0
67,67.0,topo,topoI,0.25
67,67.0,topo,gyrase,0.25
67,67.0,RNAP,RNAP,1.0
68,68.0,topo,topoI,0.25
68,68.0,topo,gyrase,0.25
68,68.0,RNAP,RNAP,1.0
69,69.0,topo,topoI,0.25
69,69.0,topo,gyrase,0.25
69,69.0,RNAP,RNAP,1.0
70,70.0,topo,topoI,0.25
70,70.0,topo,gyrase,0.25
70,70.0,RNAP,RNAP,1.0
71,71.0,topo,topoI,0.25
71,71.0,topo,gyrase,0.25
71,71.0,RNAP,RNAP,1.0
72,72.0,topo,topoI,0.25
72,72.0,topo,gyrase,0.25
72,72.0,RNAP,RNAP,1.0
73,73.0,topo,topoI,0.25
73,73.0,topo,gyrase,0.25
73,73.0,RNAP,RNAP,1.0
74,74.0,topo,topoI,0.25
74,74.0,topo,gyrase,0.25
74,74.0,RNAP,RNAP,1.0
75,75.0,topo,topoI,0.25
75,75.0,topo,gyrase,0.25
75,75.0,RNAP,RNAP,1.0
76,76.0,topo,topoI,0.25
76,76.0,topo,gyrase,0.25
76,76.0,RNAP,RNAP,1.0
77,77.0,topo,topoI,0.25
77,77.0,topo,gyrase,0.25
77,77.0,RNAP,RNAP,1.0
78,78.0,topo,topoI,0.25
78,78.0,topo,gyrase,0.25
78,78.0,RNAP,RNAP,1.0
79,79.0,topo,topoI,0.25
79,79.0,topo,gyrase,0.25
79,79.0,RNAP,RNAP,1.0
80,80.0,topo,topoI,0.25
80,80.0,topo,gyrase,0.25
80,80.0,RNAP,RNAP,1.0
81,81.0,topo,topoI,0.25
81,81.0,topo,gyrase,0.25
81,81.0,RNAP,RNAP,1.0
82,82.0,topo,topoI,0.25
82,82.0,topo,gyrase,0.25
82,82.0,RNAP,RNAP,1.0
83,83.0,topo,topoI,0.25
83,83.0,topo,gyrase,0.25
83,83.0,RNAP,RNAP,1.0
84,84.0,topo,topoI,0.25
84,84.0,topo,gyrase,0.25
84,84.0,RNAP,RNAP,1.0
85,85.0,topo,topoI,0.25
85,85.0,topo,gyrase,0.25
85,85.0,RNAP,RNAP,1.0
86,86.0,topo,topoI,0.25
86,86.0,topo,gyrase,0.25
86,86.0,RNAP,RNAP,1.0
87,87.0,topo,topoI,0.25
87,87.0,topo,gyrase,0.25
87,87.0,RNAP,RNAP,1.0
88,88.0,topo,topoI,0.25
88,88.0,topo,gyrase,0.25
88,88.0,RNAP,RNAP,1.0
89,89.0,topo,topoI,0.25
89,89.0,topo,gyrase,0.25
89,89.0,RNAP,RNAP,1.0
90,90.0,topo,topoI,0.25
90,90.0,topo,gyrase,0.25
90,90.0,RNAP,RNAP,1.0
91,91.0,topo,topoI,0.25
91,91.0,topo,gyrase,0.25
91,91.0,RNAP,RNAP,1.0
92,92.0,topo,topoI,0.25
92,92.0,topo,gyrase,0.25
92,92.0,RNAP,RNAP,1.0
93,93.0,topo,topoI,0.25
93,93.0,topo,gyrase,0.25
93,93.0,RNAP,RNAP,1.0
94,94.0,topo,topoI,0.25
94,94.0,topo,gyrase,0.25
94,94.0,RNAP,RNAP,1.0
95,95.0,topo,topoI,0.25
95,95.0,topo,gyrase,0.25
95,95.0,RNAP,RNAP,1.0
96,96.0,topo,topoI,0.25
96,96.0,topo,gyrase,0.25
96,96.0,RNAP,RNAP,1.0
97,97.0,topo,topoI,0.25
97,97.0,topo,gyrase,0.25
97,97.0,RNAP,RNAP,1.0
98,98.0,topo,topoI,0.25
98,98.0,topo,gyrase,0.25
98,98.0,RNAP,RNAP,1.0
99,99.0,topo,topoI,0.25
99,99.0,topo,gyrase,0.25
99,99.0,RNAP,RNAP,1.0
100,100.0,topo,topoI,0.25
100,100.0,topo,gyrase,0.25
100,100.0,RNAP,RNAP,1.0
