frame,time,type,name,concentration
50,25.0,RNAP,RNAP,1.0
51,25.5,topo,topoI,0.25
51,25.5,topo,gyrase,0.0
51,25.5,RNAP,RNAP,1.0
52,26.0,topo,topoI,0.25
52,26.0,topo,gyrase,0.0
52,26.0,RNAP,RNAP,1.0
53,26.5,topo,topoI,0.25
53,26.5,topo,gyrase,0.0
53,26.5,RNAP,RNAP,1.0
54,27.0,topo,topoI,0.25
54,27.0,topo,gyrase,0.0
54,27.0,RNAP,RNAP,1.0
55,27.5,topo,topoI,0.25
55,27.5,topo,gyrase,0.0
55,27.5,RNAP,RNAP,1.0
56,28.0,topo,topoI,0.25
56,28.0,topo,gyrase,0.0
56,28.0,RNAP,RNAP,1.0
57,28.5,topo,topoI,0.25
57,28.5,topo,gyrase,0.0
57,28.5,RNAP,RNAP,1.0
58,29.0,topo,topoI,0.25
58,29.0,topo,gyrase,0.0
58,29.0,RNAP,RNAP,1.0
59,29.5,topo,topoI,0.25
59,29.5,topo,gyrase,0.0
59,29.5,RNAP,RNAP,1.0
60,30.0,topo,topoI,0.25
60,30.0,topo,gyrase,0.0
60,30.0,RNAP,RNAP,1.0
61,30.5,topo,topoI,0.25
61,30.5,topo,gyrase,0.0
61,30.5,RNAP,RNAP,1.0
62,31.0,topo,topoI,0.25
62,31.0,topo,gyrase,0.0
62,31.0,RNAP,RNAP,1.0
63,31.5,topo,topoI,0.25
63,31.5,topo,gyrase,0.0
63,31.5,RNAP,RNAP,1.0
64,32.0,topo,topoI,0.25
64,32.0,topo,gyrase,0.0
64,32.0,RNAP,RNAP,1.0
65,32.5,topo,topoI,0.25
65,32.5,topo,gyrase,0.0
65,32.5,RNAP,RNAP,1.0
66,33.0,topo,topoI,0.25
66,33.0,topo,gyrase,0.0
66,33.0,RNAP,RNAP,1.0
67,33.5,topo,topoI,0.25
67,33.5,topo,gyrase,0.0
67,33.5,RNAP,RNAP,1.0
68,34.0,topo,topoI,0.25
68,34.0,topo,gyrase,0.0
68,34.0,RNAP,RNAP,1.0
69,34.5,topo,topoI,0.25
69,34.5,topo,gyrase,0.0
69,34.5,RNAP,RNAP,1.0
70,35.0,topo,topoI,0.25
70,35.0,topo,gyrase,0.0
70,35.0,RNAP,RNAP,1.0
71,35.5,topo,topoI,0.25
71,35.5,topo,gyrase,0.0
71,35.5,RNAP,RNAP,1.0
72,36.0,topo,topoI,0.25
72,36.0,topo,gyrase,0.0
72,36.0,RNAP,RNAP,1.0
73,36.5,topo,topoI,0.25
73,36.5,topo,gyrase,0.0
73,36.5,RNAP,RNAP,1.0
74,37.0,topo,topoI,0.25
74,37.0,topo,gyrase,0.0
74,37.0,RNAP,RNAP,1.0
75,37.5,topo,topoI,0.25
75,37.5,topo,gyrase,0.0
75,37.5,RNAP,RNAP,1.0
76,38.0,topo,topoI,0.25
76,38.0,topo,gyrase,0.0
76,38.0,RNAP,RNAP,1.0
77,38.5,topo,topoI,0.25
77,38.5,topo,gyrase,0.0
77,38.5,RNAP,RNAP,1.0
78,39.0,topo,topoI,0.25
78,39.0,topo,gyrase,0.0
78,39.0,RNAP,RNAP,1.0
79,39.5,topo,topoI,0.25
79,39.5,topo,gyrase,0.0
79,39.5,RNAP,RNAP,1.0
80,40.0,topo,topoI,0.25
80,40.0,topo,gyrase,0.0
80,40.0,RNAP,RNAP,1.0
81,40.5,topo,topoI,0.25
81,40.5,topo,gyrase,0.0
81,40.5,RNAP,RNAP,1.0
82,41.0,topo,topoI,0.25
82,41.0,topo,gyrase,0.0
82,41.0,RNAP,RNAP,1.0
83,41.5,topo,topoI,0.25
83,41.5,topo,gyrase,0.0
83,41.5,RNAP,RNAP,1.0
84,42.0,topo,topoI,0.25
84,42.0,topo,gyrase,0.0
84,42.0,RNAP,RNAP,1.0
85,42.5,topo,topoI,0.25
85,42.5,topo,gyrase,0.0
85,42.5,RNAP,RNAP,1.0
86,43.0,topo,topoI,0.25
86,43.0,topo,gyrase,0.0
86,43.0,RNAP,RNAP,1.0
87,43.5,topo,topoI,0.25
87,43.5,topo,gyrase,0.0
87,43.5,RNAP,RNAP,1.0
88,44.0,topo,topoI,0.25
88,44.0,topo,gyrase,0.0
88,44.0,RNAP,RNAP,1.0
89,44.5,topo,topoI,0.25
89,44.5,topo,gyrase,0.0
89,44.5,RNAP,RNAP,1.0
90,45.0,topo,topoI,0.25
90,45.0,topo,gyrase,0.0
90,45.0,RNAP,RNAP,1.0
91,45.5,topo,topoI,0.25
91,45.5,topo,gyrase,0.0
91,45.5,RNAP,RNAP,1.0
92,46.0,topo,topoI,0.25
92,46.0,topo,gyrase,0.0
92,46.0,RNAP,RNAP,1.0
93,46.5,topo,topoI,0.25
93,46.5,topo,gyrase,0.0
93,46.5,RNAP,RNAP,1.0
94,47.0,topo,topoI,0.25
94,47.0,topo,gyrase,0.0
94,47.0,RNAP,RNAP,1.0
95,47.5,topo,topoI,0.25
95,47.5,topo,gyrase,0.0
95,47.5,RNAP,RNAP,1.0
96,48.0,topo,topoI,0.25
96,48.0,topo,gyrase,0.0
96,48.0,RNAP,RNAP,1.0
97,48.5,topo,topoI,0.25
97,48.5,topo,gyrase,0.0
97,48.5,RNAP,RNAP,1.0
98,49.0,topo,topoI,0.25
98,49.0,topo,gyrase,0.0
98,49.0,RNAP,RNAP,1.0
99,49.5,topo,topoI,0.25
99,49.5,topo,gyrase,0.0
99,49.5,RNAP,RNAP,1.0
100,50.0,topo,topoI,0.25
100,50.0,topo,gyrase,0.0
100,50.0,RNAP,RNAP,1.0
101,50.5,topo,topoI,0.25
101,50.5,topo,gyrase,0.0
101,50.5,RNAP,RNAP,1.0
102,51.0,topo,topoI,0.25
102,51.0,topo,gyrase,0.0
102,51.0,RNAP,RNAP,1.0
103,51.5,topo,topoI,0.25
103,51.5,topo,gyrase,0.0
103,51.5,RNAP,RNAP,1.0
104,52.0,topo,topoI,0.25
104,52.0,topo,gyrase,0.0
104,52.0,RNAP,RNAP,1.0
105,52.5,topo,topoI,0.25
105,52.5,topo,gyrase,0.0
105,52.5,RNAP,RNAP,1.0
106,53.0,topo,topoI,0.25
106,53.0,topo,gyrase,0.0
106,53.0,RNAP,RNAP,1.0
107,53.5,topo,topoI,0.25
107,53.5,topo,gyrase,0.0
107,53.5,RNAP,RNAP,1.0
108,54.0,topo,topoI,0.25
108,54.0,topo,gyrase,0.0
108,54.0,RNAP,RNAP,1.0
109,54.5,topo,topoI,0.25
109,54.5,topo,gyrase,0.0
109,54.5,RNAP,RNAP,1.0
110,55.0,topo,topoI,0.25
110,55.0,topo,gyrase,0.0
110,55.0,RNAP,RNAP,1.0
111,55.5,topo,topoI,0.25
111,55.5,topo,gyrase,0.0
111,55.5,RNAP,RNAP,1.0
112,56.0,topo,topoI,0.25
112,56.0,topo,gyrase,0.0
112,56.0,RNAP,RNAP,1.0
113,56.5,topo,topoI,0.25
113,56.5,topo,gyrase,0.0
113,56.5,RNAP,RNAP,1.0
114,57.0,topo,topoI,0.25
114,57.0,topo,gyrase,0.0
114,57.0,RNAP,RNAP,1.0
115,57.5,topo,topoI,0.25
115,57.5,topo,gyrase,0.0
115,57.5,RNAP,RNAP,1.0
116,58.0,topo,topoI,0.25
116,58.0,topo,gyrase,0.0
116,58.0,RNAP,RNAP,1.0
117,58.5,topo,topoI,0.25
117,58.5,topo,gyrase,0.0
117,58.5,RNAP,RNAP,1.0
118,59.0,topo,topoI,0.25
118,59.0,topo,gyrase,0.0
118,59.0,RNAP,RNAP,1.0
119,59.5,topo,topoI,0.25
119,59.5,topo,gyrase,0.0
119,59.5,RNAP,RNAP,1.0
120,60.0,topo,topoI,0.25
120,60.0,topo,gyrase,0.0
120,60.0,RNAP,RNAP,1.0
121,60.5,topo,topoI,0.25
121,60.5,topo,gyrase,0.0
121,60.5,RNAP,RNAP,1.0
122,61.0,topo,topoI,0.25
122,61.0,topo,gyrase,0.0
122,61.0,RNAP,RNAP,1.0
123,61.5,topo,topoI,0.25
123,61.5,topo,gyrase,0.0
123,61.5,RNAP,RNAP,1.0
124,62.0,topo,topoI,0.25
124,62.0,topo,gyrase,0.0
124,62.0,RNAP,RNAP,1.0
125,62.5,topo,topoI,0.25
125,62.5,topo,gyrase,0.0
125,62.5,RNAP,RNAP,1.0
126,63.0,topo,topoI,0.25
126,63.0,topo,gyrase,0.0
126,63.0,RNAP,RNAP,1.0
127,63.5,topo,topoI,0.25
127,63.5,topo,gyrase,0.0
127,63.5,RNAP,RNAP,1.0
128,64.0,topo,topoI,0.25
