frame,time,type,name,concentration
91,91.0,topo,topoI,0.25
91,91.0,topo,gyrase,0.25
92,92.0,topo,topoI,0.25
92,92.0,topo,gyrase,0.25
93,93.0,topo,topoI,0.25
93,93.0,topo,gyrase,0.25
94,94.0,topo,topoI,0.25
94,94.0,topo,gyrase,0.25
95,95.0,topo,topoI,0.25
95,95.0,topo,gyrase,0.25
96,96.0,topo,topoI,0.25
96,96.0,topo,gyrase,0.25
97,97.0,topo,topoI,0.25
97,97.0,topo,gyrase,0.25
98,98.0,topo,topoI,0.25
98,98.0,topo,gyrase,0.25
99,99.0,topo,topoI,0.25
99,99.0,topo,gyrase,0.25
100,100.0,topo,topoI,0.25
100,100.0,topo,gyrase,0.25
101,101.0,topo,topoI,0.25
101,101.0,topo,gyrase,0.25
102,102.0,topo,topoI,0.25
102,102.0,topo,gyrase,0.25
103,103.0,topo,topoI,0.25
103,103.0,topo,gyrase,0.25
104,104.0,topo,topoI,0.25
104,104.0,topo,gyrase,0.25
105,105.0,topo,topoI,0.25
105,105.0,topo,gyrase,0.25
106,106.0,topo,topoI,0.25
106,106.0,topo,gyrase,0.25
107,107.0,topo,topoI,0.25
107,107.0,topo,gyrase,0.25
108,108.0,topo,topoI,0.25
108,108.0,topo,gyrase,0.25
109,109.0,topo,topoI,0.25
109,109.0,topo,gyrase,0.25
110,110.0,topo,topoI,0.25
110,110.0,topo,gyrase,0.25
111,111.0,topo,topoI,0.25
111,111.0,topo,gyrase,0.25
112,112.0,topo,topoI,0.25
112,112.0,topo,gyrase,0.25
113,113.0,topo,topoI,0.25
113,113.0,topo,gyrase,0.25
114,114.0,topo,topoI,0.25
114,114.0,topo,gyrase,0.25
115,115.0,topo,topoI,0.25
115,115.0,topo,gyrase,0.25
116,116.0,topo,topoI,0.25
116,116.0,topo,gyrase,0.25
117,117.0,topo,topoI,0.25
117,117.0,topo,gyrase,0.25
118,118.0,topo,topoI,0.25
118,118.0,topo,gyrase,0.25
119,119.0,topo,topoI,0.25
119,119.0,topo,gyrase,0.25
120,120.0,topo,topoI,0.25
120,120.0,topo,gyrase,0.25
121,121.0,topo,topoI,0.25
121,121.0,topo,gyrase,0.25
122,122.0,topo,topoI,0.25
122,122.0,topo,gyrase,0.25
